date,XLV,XLP,XLU,XLE,XLB,XLI,XLY,XLF,XLRE,XLK,SMH,SPHQ,MTUM,USMV,VLUE,IWM,SCHD,VOO
2021-01-01,105.76383209228516,55.88472366333008,26.499608993530273,16.169097900390625,31.835372924804688,78.30765533447266,77.65337371826172,26.417177200317383,30.861663818359375,61.919654846191406,109.93596649169922,38.99457931518555,154.78091430664062,60.62620162963867,78.1688232421875,192.96255493164062,17.61250114440918,315.64501953125
2021-02-01,103.53878784179688,55.19586944580078,24.883617401123047,19.800153732299805,33.146820068359375,83.70246124267578,77.24116516113281,29.48320960998535,31.348600387573242,62.764915466308594,116.89276123046875,39.777095794677734,153.87408447265625,60.39665222167969,83.56700134277344,204.93115234375,18.67933464050293,324.3762512207031
2021-03-01,107.33609008789062,59.56443786621094,27.305469512939453,20.174365997314453,35.51284408569336,90.94477844238281,80.5580062866211,31.070980072021484,33.15362548828125,63.783077239990234,118.15411376953125,41.29551315307617,151.94712829589844,63.52759552001953,89.20891571044922,207.40000915527344,20.206165313720703,338.02532958984375
2021-04-01,111.94351959228516,60.999908447265625,28.66059112548828,20.525558471679688,37.58171463012695,94.44927215576172,85.89478302001953,33.23427200317383,36.26585388183594,67.2336654663086,117.88729858398438,42.75020217895508,162.7642059326172,66.32827758789062,91.2171401977539,211.50494384765625,20.79875373840332,357.16058349609375
2021-05-01,114.03791046142578,62.078243255615234,27.9904727935791,21.697500228881836,39.491573333740234,97.40515899658203,82.9759292602539,34.819915771484375,36.68133544921875,66.60802459716797,120.8902587890625,43.55399703979492,161.0440216064453,66.9090347290039,93.8150863647461,212.07864379882812,21.46851348876953,359.5443420410156
2021-06-01,116.20610809326172,61.34184265136719,27.16141128540039,22.38736343383789,37.251338958740234,94.88478088378906,85.7171630859375,33.62839126586914,37.588623046875,71.0645980834961,127.22125244140625,45.423248291015625,163.91725158691406,67.85858917236328,91.89942169189453,215.71827697753906,21.10293960571289,366.42535400390625
2021-07-01,122.40225982666016,63.099143981933594,28.558515548706055,20.735326766967773,38.190303802490234,96.07718658447266,86.7481918334961,33.605167388916016,39.58134841918945,73.96241760253906,127.65786743164062,46.77142333984375,165.55203247070312,70.47049713134766,91.67713165283203,208.20578002929688,21.392873764038086,376.66583251953125
2021-08-01,125.23653411865234,63.76094055175781,29.671064376831055,20.319698333740234,38.913028717041016,97.14615631103516,88.29631042480469,35.335121154785156,40.69078826904297,76.59497833251953,131.38853454589844,47.6807861328125,172.37156677246094,71.79264068603516,92.38011169433594,212.7928009033203,21.83978271484375,387.78399658203125
2021-09-01,117.90999603271484,60.74317932128906,27.653743743896484,21.868864059448242,35.958534240722656,90.94611358642578,86.27701568603516,34.53455352783203,37.93426513671875,71.99525451660156,124.32498931884766,45.51518249511719,166.09117126464844,67.95567321777344,88.48735809326172,206.03944396972656,20.86725425720215,368.4905700683594
2021-10-01,124.38584899902344,63.261558532714844,29.18476676940918,24.420669555664062,38.85944366455078,97.4412612915039,96.85472869873047,37.20705795288086,41.03889846801758,78.01931762695312,132.7517547607422,48.27140808105469,180.6845703125,71.97093963623047,91.33956909179688,215.44976806640625,21.960037231445312,395.72052001953125
2021-11-01,120.58415985107422,62.40919876098633,28.687515258789062,23.196874618530273,38.6448860168457,93.97219848632812,98.43888092041016,35.08146667480469,40.66987228393555,81.49213409423828,147.9169921875,47.66203689575195,173.5492401123047,70.49531555175781,90.47219848632812,206.1156463623047,21.509565353393555,392.8145751953125
2021-12-01,130.95738220214844,68.46454620361328,31.22171401977539,23.583559036254883,41.36576461791992,98.67221069335938,98.43888092041016,36.08880615234375,44.46309280395508,83.97958374023438,149.80418395996094,49.88390350341797,172.2890167236328,75.07992553710938,96.88898468017578,210.15919494628906,22.900657653808594,409.2279357910156
2022-01-01,122.44719696044922,67.91476440429688,30.442842483520508,28.3740177154541,38.74895477294922,94.29862976074219,89.1877212524414,36.270999908447266,40.974891662597656,78.3798599243164,134.32110595703125,47.95162582397461,157.11209106445312,70.81310272216797,95.6388168334961,190.69857788085938,22.452007293701172,389.2021484375
2022-02-01,121.26217651367188,66.95819854736328,29.862565994262695,30.379831314086914,38.257991790771484,93.50298309326172,85.56137084960938,35.76955032348633,39.01011276245117,74.55691528320312,130.78506469726562,46.70063400268555,152.9040985107422,68.64385223388672,93.580078125,192.66966247558594,22.01793098449707,377.60205078125
2022-03-01,127.82170867919922,67.84324645996094,32.733192443847656,32.902156829833984,40.4466552734375,96.39542388916016,89.2118148803711,35.583831787109375,41.82313537597656,76.90873718261719,131.58494567871094,46.945194244384766,159.83827209472656,72.21894073486328,93.19685363769531,194.51751708984375,22.529111862182617,390.5946350097656
