Cboe Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of Cboe Volume and Put/Call Ratio data is subject to the Terms and Conditions of Cboe Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: Cboe,
2/7/2008,1251116,1101549,2352665,0.88
2/8/2008,1025314,811140,1836454,0.79
2/11/2008,1164587,789834,1954421,0.68
2/12/2008,1368634,1073893,2442527,0.78
2/13/2008,1083169,815995,1899164,0.75
2/14/2008,1128694,834505,1963199,0.74
2/15/2008,1254792,975000,2229792,0.78
2/19/2008,1262963,843204,2106167,0.67
2/20/2008,1105864,774172,1880036,0.7
2/21/2008,1024261,709348,1733609,0.69
2/22/2008,921121,771956,1693077,0.84
2/25/2008,1047599,682566,1730165,0.65
2/26/2008,1173488,940009,2113497,0.8
2/27/2008,1050971,775979,1826950,0.74
2/28/2008,997910,958602,1956512,0.96
2/29/2008,1031151,870766,1901917,0.84
3/3/2008,1066089,845347,1911436,0.79
3/4/2008,1189930,1141182,2331112,0.96
3/5/2008,1037764,703561,1741325,0.68
3/6/2008,990828,1109591,2100419,1.12
3/7/2008,1145830,1056101,2201931,0.92
3/10/2008,1055402,1051758,2107160,1
3/11/2008,1325081,1174964,2500045,0.89
3/12/2008,1168372,976710,2145082,0.84
3/13/2008,1270533,1047530,2318063,0.82
3/14/2008,1178150,1365552,2543702,1.16
3/17/2008,1351521,1814313,3165834,1.34
3/18/2008,1678548,1317287,2995835,0.78
3/19/2008,1551367,1392187,2943554,0.9
3/20/2008,1815036,1467874,3282910,0.81
3/24/2008,1575484,991208,2566692,0.63
3/25/2008,1219736,938317,2158053,0.77
3/26/2008,1207437,930997,2138434,0.77
3/27/2008,1064793,901768,1966561,0.85
3/28/2008,889802,763764,1653566,0.86
3/31/2008,880437,748399,1628836,0.85
4/1/2008,1292552,1041654,2334206,0.81
4/2/2008,1181232,923507,2104739,0.78
4/3/2008,1063288,867830,1931118,0.82
4/4/2008,1090589,888857,1979446,0.82
4/7/2008,1261082,937309,2198391,0.74
4/8/2008,937309,840947,1778256,0.9
4/9/2008,957134,859679,1816813,0.9
4/10/2008,1115495,882401,1997896,0.79
4/11/2008,1156445,1035391,2191836,0.9
4/14/2008,1062214,904620,1966834,0.85
4/15/2008,1103053,1040621,2143674,0.94
4/16/2008,1523812,1102020,2625832,0.72
4/17/2008,1364348,1024573,2388921,0.75
4/18/2008,2074614,1223920,3298534,0.59
4/21/2008,1437746,859213,2296959,0.6
4/22/2008,1431134,949162,2380296,0.66
4/23/2008,1297079,907144,2204223,0.7
4/24/2008,1485218,987812,2473030,0.67
4/25/2008,1286873,935163,2222036,0.73
4/28/2008,1081649,715552,1797201,0.66
4/29/2008,1184337,978921,2163258,0.83
4/30/2008,1279350,838444,2117794,0.66
5/1/2008,1625225,936186,2561411,0.58
5/2/2008,1463659,914771,2378430,0.62
5/5/2008,1459412,967118,2426530,0.66
5/6/2008,1694944,971356,2666300,0.57
5/7/2008,1532500,1016116,2548616,0.66
5/8/2008,1379222,827643,2206865,0.6
5/9/2008,1166467,815717,1982184,0.7
5/12/2008,1475590,970195,2445785,0.66
5/13/2008,1574325,945252,2519577,0.6
5/14/2008,1639066,1018269,2657335,0.62
5/15/2008,1665011,986604,2651615,0.59
5/16/2008,1832609,1075511,2908120,0.59
5/19/2008,1646289,918074,2564363,0.56
5/20/2008,1264438,884310,2148748,0.7
5/21/2008,1400279,1107649,2507928,0.79
5/22/2008,1176044,735328,1911372,0.63
5/23/2008,1161498,830802,1992300,0.72
5/27/2008,1029808,675743,1705551,0.66
5/28/2008,1207365,748538,1955903,0.62
5/29/2008,1296524,864347,2160871,0.67
5/30/2008,1096856,649606,1746462,0.59
6/2/2008,1092911,825569,1918480,0.76
6/3/2008,1308822,1040584,2349406,0.8
6/4/2008,1241962,943398,2185360,0.76
6/5/2008,1470027,941644,2411671,0.64
6/6/2008,1528100,1161267,2689367,0.76
6/9/2008,1588449,1243178,2831627,0.78
6/10/2008,1317130,1071254,2388384,0.81
6/11/2008,1426996,1208661,2635657,0.85
6/12/2008,1683010,1302295,2985305,0.77
6/13/2008,1578395,1195919,2774314,0.76
6/16/2008,1397311,1130013,2527324,0.81
6/17/2008,1417831,1065394,2483225,0.75
6/18/2008,1484228,1279325,2763553,0.86
6/19/2008,1818519,1384975,3203494,0.76
6/20/2008,1725837,1582696,3308533,0.92
6/23/2008,1602539,1045996,2648535,0.65
6/24/2008,1268171,892176,2160347,0.7
6/25/2008,1502525,1066269,2568794,0.71
6/26/2008,1579838,1244666,2824504,0.79
6/27/2008,1364226,1108971,2473197,0.81
6/30/2008,1256051,966644,2222695,0.77
7/1/2008,1530534,1231636,2762170,0.8
7/2/2008,1686747,1194110,2880857,0.71
7/3/2008,1032849,879981,1912830,0.85
7/7/2008,1521946,1365111,2887057,0.9
7/8/2008,1906513,1402387,3308900,0.74
7/9/2008,1479884,1237598,2717482,0.84
7/10/2008,1601147,1490108,3091255,0.93
7/11/2008,1850800,1681920,3532720,0.91
7/14/2008,1514073,1405153,2919226,0.93
7/15/2008,1905654,1797457,3703111,0.94
7/16/2008,2073655,1609915,3683570,0.78
7/17/2008,2449612,1823778,4273390,0.74
7/18/2008,2053123,1470599,3523722,0.72
7/21/2008,1768964,1235915,3004879,0.7
7/22/2008,1865392,1437208,3302600,0.77
7/23/2008,2142589,1389064,3531653,0.65
7/24/2008,1682968,1373749,3056717,0.82
7/25/2008,1278952,939700,2218652,0.73
7/28/2008,1188889,947144,2136033,0.8
7/29/2008,1651151,1122179,2773330,0.68
7/30/2008,1805087,1293000,3098087,0.72
7/31/2008,1653225,1207365,2860590,0.73
8/1/2008,1969569,1684730,3654299,0.86
8/4/2008,1214331,871108,2085439,0.72
8/5/2008,1833655,1146763,2980418,0.63
8/6/2008,1395087,1021884,2416971,0.73
8/7/2008,1317219,1096082,2413301,0.83
8/8/2008,1537813,910645,2448458,0.59
8/11/2008,1668432,1135115,2803547,0.68
8/12/2008,1505822,1099650,2605472,0.73
8/13/2008,1479094,1058376,2537470,0.72
8/14/2008,1369339,953508,2322847,0.7
8/15/2008,1561722,1017353,2579075,0.65
8/18/2008,1184562,899213,2083775,0.76
8/19/2008,1008757,882711,1891468,0.88
8/20/2008,1142776,794411,1937187,0.7
8/21/2008,988313,647284,1635597,0.65
8/22/2008,954718,567786,1522504,0.59
8/25/2008,721153,510353,1231506,0.71
8/26/2008,832937,669626,1502563,0.8
8/27/2008,909472,628672,1538144,0.69
8/28/2008,1069675,771941,1841616,0.72
8/29/2008,764000,543560,1307560,0.71
9/2/2008,1237480,855129,2092609,0.69
9/3/2008,1373289,933331,2306620,0.68
9/4/2008,1440928,1135145,2576073,0.79
9/5/2008,1410026,1103579,2513605,0.78
9/8/2008,1764118,1359159,3123277,0.77
9/9/2008,1640945,1636900,3277845,1
9/10/2008,1488897,1269227,2758124,0.85
9/11/2008,1787802,1487736,3275538,0.83
9/12/2008,1727538,1547842,3275380,0.9
9/15/2008,1342619,1584395,2927014,1.18
9/16/2008,1783956,1671688,3455644,0.94
9/17/2008,1852950,1824140,3677090,0.98
9/18/2008,2259042,1821459,4080501,0.81
9/19/2008,2421983,1241857,3663840,0.51
9/22/2008,1382320,1005732,2388052,0.73
9/23/2008,1193075,912294,2105369,0.76
9/24/2008,1010855,721281,1732136,0.71
9/25/2008,1320908,828195,2149103,0.63
9/26/2008,1185821,971227,2157048,0.82
9/29/2008,1293507,1022631,2316138,0.79
9/30/2008,1252444,908952,2161396,0.73
10/1/2008,1338897,1059921,2398818,0.79
10/2/2008,1399107,1283002,2682109,0.92
10/3/2008,1574755,1156113,2730868,0.73
10/6/2008,1902376,1835224,3737600,0.96
10/7/2008,1460722,1388645,2849367,0.95
10/8/2008,1769555,1584168,3353723,0.9
10/9/2008,1478394,1567000,3045394,1.06
10/10/2008,1913759,1952805,3866564,1.02
10/13/2008,1596842,1109383,2706225,0.69
10/14/2008,1578044,1275653,2853697,0.81
10/15/2008,1386063,1256060,2642123,0.91
10/16/2008,1477834,1387342,2865176,0.94
10/17/2008,1535165,1260237,2795402,0.82
10/20/2008,1265425,795504,2060929,0.63
10/21/2008,1109227,855276,1964503,0.77
10/22/2008,1179583,1059873,2239456,0.9
10/23/2008,1231525,1132454,2363979,0.92
10/24/2008,1120310,1098829,2219139,0.98
10/27/2008,873685,715387,1589072,0.82
10/28/2008,1408736,952870,2361606,0.68
10/29/2008,1477290,866574,2343864,0.59
10/30/2008,1333112,914332,2247444,0.69
10/31/2008,1273050,953718,2226768,0.75
11/3/2008,1075939,812211,1888150,0.75
11/4/2008,1443728,1019296,2463024,0.71
11/5/2008,1379412,1114328,2493740,0.81
11/6/2008,1193339,1216186,2409525,1.02
11/7/2008,927288,701379,1628667,0.76
11/10/2008,884205,826201,1710406,0.93
11/11/2008,1038145,994468,2032613,0.96
11/12/2008,1104410,1085539,2189949,0.98
11/13/2008,1726252,1601226,3327478,0.93
11/14/2008,1095108,904487,1999595,0.83
11/17/2008,984340,850733,1835073,0.86
11/18/2008,1151512,1087598,2239110,0.94
11/19/2008,1211029,1408842,2619871,1.16
11/20/2008,1446741,1517393,2964134,1.05
11/21/2008,1619871,1826536,3446407,1.13
11/24/2008,1592804,900475,2493279,0.57
11/25/2008,1158691,805525,1964216,0.7
11/26/2008,1149658,739983,1889641,0.64
11/28/2008,512694,368653,881347,0.72
12/1/2008,949646,846185,1795831,0.89
12/2/2008,1080821,809333,1890154,0.75
12/3/2008,1070178,791719,1861897,0.74
12/4/2008,1008848,814555,1823403,0.81
12/5/2008,1291605,804061,2095666,0.62
12/8/2008,1577244,1154106,2731350,0.73
12/9/2008,1189758,884384,2074142,0.74
12/10/2008,1083758,832206,1915964,0.77
12/11/2008,1074766,902809,1977575,0.84
12/12/2008,925457,853638,1779095,0.92
12/15/2008,736447,650082,1386529,0.88
12/16/2008,1308821,946344,2255165,0.72
12/17/2008,1343204,858151,2201355,0.64
12/18/2008,1230926,999652,2230578,0.81
12/19/2008,1220776,838342,2059118,0.69
12/22/2008,853601,580821,1434422,0.68
12/23/2008,836232,402758,1238990,0.48
12/24/2008,295739,193142,488881,0.65
12/26/2008,429376,278407,707783,0.65
12/29/2008,727955,449706,1177661,0.62
12/30/2008,798956,497416,1296372,0.62
12/31/2008,791300,481515,1272815,0.61
1/2/2009,964210,638643,1602853,0.66
1/5/2009,1307047,878373,2185420,0.67
1/6/2009,1474737,1075719,2550456,0.73
1/7/2009,1132997,1135307,2268304,1
1/8/2009,1099483,979449,2078932,0.89
1/9/2009,1096044,950303,2046347,0.87
1/12/2009,1125670,1119174,2244844,0.99
1/13/2009,1163243,1075534,2238777,0.92
1/14/2009,1282889,1256710,2539599,0.98
1/15/2009,1723452,1730207,3453659,1
1/16/2009,1682537,1377134,3059671,0.82
1/20/2009,1509550,1353709,2863259,0.9
1/21/2009,1399180,1115623,2514803,0.8
1/22/2009,1477597,1116828,2594425,0.76
1/23/2009,1453233,989170,2442403,0.68
1/26/2009,1240524,818344,2058868,0.66
1/27/2009,1121552,759502,1881054,0.68
1/28/2009,1447189,895809,2342998,0.62
1/29/2009,1023529,910111,1933640,0.89
1/30/2009,1052450,916067,1968517,0.87
2/2/2009,1114338,841196,1955534,0.75
2/3/2009,1119821,860276,1980097,0.77
2/4/2009,1234221,966799,2201020,0.78
2/5/2009,1532511,1120016,2652527,0.73
2/6/2009,1625078,952887,2577965,0.59
2/9/2009,1323210,839517,2162727,0.63
2/10/2009,1415864,1076257,2492121,0.76
2/11/2009,1107140,892960,2000100,0.81
2/12/2009,1172941,1039968,2212909,0.89
2/13/2009,947296,700021,1647317,0.74
2/17/2009,1194461,1133739,2328200,0.95
2/18/2009,1196297,1060224,2256521,0.89
2/19/2009,1247849,1190871,2438720,0.95
2/20/2009,1924048,1594599,3518647,0.83
2/23/2009,1336108,1063709,2399817,0.8
2/24/2009,1476645,941104,2417749,0.64
2/25/2009,1243804,803362,2047166,0.65
2/26/2009,1282372,840644,2123016,0.66
2/27/2009,1328906,917345,2246251,0.69
3/2/2009,1321989,1136676,2458665,0.86
3/3/2009,1191603,941209,2132812,0.79
3/4/2009,1448246,1211685,2659931,0.84
3/5/2009,1352091,1216788,2568879,0.9
3/6/2009,1416349,1175214,2591563,0.83
3/9/2009,1273119,778499,2051618,0.61
3/10/2009,1720985,984989,2705974,0.57
3/11/2009,1518907,998908,2517815,0.66
3/12/2009,1712447,1052783,2765230,0.61
3/13/2009,1542737,935321,2478058,0.61
3/16/2009,1834848,1273360,3108208,0.69
3/17/2009,1586340,1053744,2640084,0.66
3/18/2009,2578948,1404566,3983514,0.54
3/19/2009,2299602,1302202,3601804,0.57
3/20/2009,1868126,1357148,3225274,0.73
3/23/2009,2179719,1122830,3302549,0.52
3/24/2009,1544063,958177,2502240,0.62
3/25/2009,1493215,954897,2448112,0.64
3/26/2009,1434339,956087,2390426,0.67
