date,gz_spread,ebp,est_prob
1973-01-01,1.1307714053429057,-0.0453095526349454,0.1874187370465903
1973-02-01,1.075493276125443,-0.05692437662842886,0.18354213124134963
1973-03-01,1.0299678416836435,-0.14819844716589792,0.1548397541165565
1973-04-01,0.9827458103604768,-0.20895933154528556,0.13747183318488465
1973-05-01,1.0464935117518377,-0.08335564165859255,0.17490828207111658
1973-06-01,1.185925775964177,0.03670366935065083,0.21620819490027657
1973-07-01,0.9810549739577188,-0.3435651667696381,0.1038725504822445
1973-08-01,0.9777605050840716,-0.2124185017026241,0.13652474773673393
1973-09-01,0.8188236781169651,-0.3527305985557343,0.10182303121857278
1973-10-01,1.273250254171703,0.1192501954074232,0.2476155118683328
1973-11-01,1.3537449558224253,0.05444953857321177,0.22275868085499373
1973-12-01,1.295969416847959,-0.00574777794432201,0.20099858939935644
1974-01-01,1.1784210232542267,-0.03783574154337055,0.18993978131288455
1974-02-01,1.3067144792396042,0.16300193134896213,0.2652008344390797
1974-03-01,1.220038714401003,-0.09758607396915252,0.17036841326608954
1974-04-01,1.2539698576113811,0.09248761093779924,0.2371738893909124
1974-05-01,1.3012385977617122,0.0997481332607395,0.23998249842393865
1974-06-01,1.9017877205835212,0.7555895611925383,0.5447436746059034
1974-07-01,2.568696915547139,1.261900709734004,0.7717037577493504
1974-08-01,2.1264243722076457,0.9436816956497432,0.6357815992196959
1974-09-01,2.381902491150801,0.9974683250872678,0.6606921160872222
1974-10-01,2.5524795103497766,1.109958506142035,0.7104792168912142
1974-11-01,2.356853811556149,1.0894811561750255,0.7016740511262971
1974-12-01,2.661212477979876,1.222660425896242,0.7566233658928436
1975-01-01,1.7337713333806513,0.3894865776161715,0.3651787129884574
1975-02-01,1.649526368358294,0.41197918798166855,0.3757848011043114
1975-03-01,1.8961250416029105,0.6016511537374041,0.4682043704289685
1975-04-01,1.5567123308218438,0.23445729758628153,0.2952235356528849
1975-05-01,1.606921254453593,0.3599260240920943,0.35139631455819165
1975-06-01,1.461922207470538,0.2546443528348674,0.3039802737768942
1975-07-01,1.4884824580177884,0.3839365937754682,0.36257712082057714
1975-08-01,1.300847928813233,0.1265393373992747,0.2505013874181723
1975-09-01,1.4186685311342824,0.3023109541752651,0.3251015910610371
1975-10-01,1.3607284327062037,0.11195840495289432,0.24474645206859977
1975-11-01,1.329823154039846,0.1820610687173665,0.2730549395307619
1975-12-01,1.2541786335635057,-0.03940436940404535,0.18940893496733532
1976-01-01,0.9979908878131896,-0.16566730288239284,0.14970421404515316
1976-02-01,1.0617339891598505,-0.0841320989709553,0.17465860974075012
1976-03-01,1.011120581271097,-0.12565453881332167,0.16163730693151676
1976-04-01,1.0521076518505803,-0.06786998036592085,0.17993498270647848
1976-05-01,1.0237351420087335,-0.12788273676951922,0.16095691442335422
1976-06-01,1.0197788832302777,-0.05344968475185308,0.18469658378702555
1976-07-01,0.9837099912897176,-0.09202057146088828,0.17213488535589197
1976-08-01,0.9120648551648856,-0.17206527749763134,0.1478520806522148
1976-09-01,0.8550532640032931,-0.20863366128464933,0.13756122884396838
1976-10-01,0.9219118941699904,-0.14590510359572728,0.15552249845293012
1976-11-01,0.8555867249993262,-0.37308658407322104,0.09737676014523604
1976-12-01,1.1083337127370156,-0.04590413304972829,0.1872190669888921
1977-01-01,0.9877198594648672,-0.3374560005481,0.1052551633705586
1977-02-01,0.9379016261616826,-0.2095975910138617,0.1372967476413214
1977-03-01,0.9231957678701688,-0.17778130111811452,0.14621039320173324
1977-04-01,0.8633616214622896,-0.24650678823150207,0.12743029093176078
1977-05-01,0.8099849739276472,-0.24913255339367413,0.12674766184493502
1977-06-01,0.8512871905637213,-0.2609414170932022,0.1237091655005688
1977-07-01,0.8767822191117481,-0.17905607984249283,0.14584594266929077
1977-08-01,0.9251361350888264,-0.18833898274841232,0.1432104431062055
1977-09-01,0.9449811605505964,-0.1370585626354205,0.1581747551275854
1977-10-01,0.9310095841986334,-0.15233134506658597,0.15361436810047388
1977-11-01,0.9339801709741394,-0.1356984956062942,0.15858513038834643
1977-12-01,0.7853049470875838,-0.3380921872479611,0.10511056495403964
1978-01-01,0.7587030375251503,-0.33580420095037644,0.10563127156123976
1978-02-01,0.7141317271766402,-0.34108465229090446,0.10443233815364734
1978-03-01,0.7198637386015848,-0.33893132563865025,0.10492005774539058
1978-04-01,0.7353117681645004,-0.28709636638372793,0.11716188637901875
1978-05-01,0.7776714269052935,-0.24777811119702797,0.12709946216172102
1978-06-01,0.6222007182807374,-0.4595661515614349,0.08006932288219544
1978-07-01,0.6187085690170846,-0.37346787376724666,0.09729485764848989
1978-08-01,0.5981373777490661,-0.3968308058101496,0.09237236440430474
1978-09-01,0.6381015099065186,-0.31968068978544917,0.10935365390606631
1978-10-01,0.5641497987359325,-0.4941910530289193,0.07383215272517524
1978-11-01,0.6759448970423942,-0.2362254169290211,0.13012775924042683
1978-12-01,0.6532541104105585,-0.37734677920094817,0.0964645246895856
1979-01-01,0.702604369050579,-0.2505215069889367,0.1263876023626883
1979-02-01,0.6671887115386741,-0.31183275048038794,0.11119919393268712
1979-03-01,0.658788911062305,-0.17028532713183775,0.14836580679374806
1979-04-01,0.6687966878187225,-0.2066093190994708,0.13811779549894845
1979-05-01,0.7217913940558555,-0.2387347084253003,0.1294657928114783
1979-06-01,0.7660561848487495,-0.14693161828237544,0.15521665273897992
1979-07-01,0.6711907137257954,-0.23781235139166168,0.12970884451914044
1979-08-01,0.6016968629727698,-0.3202132623840537,0.1092292148607225
1979-09-01,0.7589592705917176,-0.081571254279176,0.17548291537587868
