Date,enet,rf,knn,rsz,mean,ensemble,realized
2008-01-31,0.253864,-0.097546,0.006646,-0.093029,-0.123844,-0.093029,0.110274
2008-02-29,0.243144,-0.111027,-0.007391,-0.098741,-0.127224,-0.098741,0.166173
2008-03-31,0.253864,-0.020798,-0.004301,-0.093345,-0.127224,-0.093345,0.210893
2008-04-30,0.253864,-0.024277,0.008066,-0.085002,-0.128951,-0.085002,0.215640
2008-05-31,0.253864,-0.026923,0.020242,-0.093461,-0.131809,-0.093461,0.211915
2008-06-30,0.253864,-0.021056,0.025071,-0.096785,-0.134288,-0.096785,0.326070
2008-07-31,0.249591,-0.012710,0.006022,-0.093433,-0.137024,-0.093433,0.198372
2008-08-31,0.249591,-0.018245,-0.030380,-0.067659,-0.136902,-0.067659,0.198648
2008-09-30,0.249591,-0.008081,0.046053,-0.050468,-0.136713,-0.050468,0.106087
2008-10-31,0.249591,-0.013838,0.077727,-0.003854,-0.135338,-0.003854,-0.018066
2008-11-30,0.249591,-0.019268,0.072152,0.041530,-0.133383,0.041530,0.105387
2008-12-31,0.249591,-0.009156,0.041968,0.080289,-0.132119,0.080289,-0.022450
2009-01-31,0.245777,-0.001186,0.034773,0.096528,-0.129472,0.096528,0.032830
2009-02-28,0.245777,-0.008349,0.069787,0.066409,-0.127293,0.066409,0.002897
2009-03-31,0.245777,-0.007656,0.048465,0.061396,-0.124649,0.061396,-0.028336
2009-04-30,0.245777,-0.013456,0.048465,0.060570,-0.121653,0.060570,-0.032413
2009-05-31,0.245777,-0.013882,0.026047,0.049844,-0.118668,0.049844,0.092651
2009-06-30,0.245777,-0.013536,0.024770,0.042317,-0.115768,0.042317,0.039037
2009-07-31,0.315389,0.014818,0.058477,0.011289,-0.111926,0.011289,-0.038771
2009-08-31,0.315389,0.023170,0.004307,-0.014534,-0.109251,-0.014534,-0.018692
2009-09-30,0.315389,0.015678,0.025162,-0.026501,-0.106619,-0.026501,0.025298
2009-10-31,0.315389,0.031438,-0.015056,-0.040342,-0.104817,-0.040342,0.040038
2009-11-30,0.315389,0.002967,-0.015085,-0.043951,-0.104088,-0.043951,-0.118161
2009-12-31,0.315389,-0.035799,0.042175,-0.061774,-0.102342,-0.061774,-0.184777
2010-01-31,-0.023191,-0.067523,-0.135433,-0.096937,-0.101682,-0.096937,-0.333390
2010-02-28,-0.044060,-0.113767,-0.182824,-0.104708,-0.100579,-0.104708,-0.362987
2010-03-31,-0.060606,-0.136658,-0.193929,-0.110270,-0.099738,-0.110270,-0.358922
2010-04-30,-0.079941,-0.138388,-0.274266,-0.118332,-0.099162,-0.118332,-0.202142
2010-05-31,-0.089048,-0.132664,-0.247905,-0.101955,-0.098628,-0.101955,-0.202418
2010-06-30,-0.104248,-0.156786,-0.234071,-0.093544,-0.097110,-0.093544,-0.256229
2010-07-31,-0.093373,-0.140538,-0.147673,-0.089944,-0.096038,-0.089944,-0.224880
2010-08-31,-0.094503,-0.128208,-0.239767,-0.090004,-0.095591,-0.090004,-0.150033
2010-09-30,-0.086283,-0.128945,-0.190076,-0.089486,-0.094995,-0.089486,0.001775
2010-10-31,-0.095543,-0.144148,-0.231720,-0.087744,-0.094069,-0.087744,-0.096592
2010-11-30,-0.103364,-0.149229,-0.205103,-0.088431,-0.093046,-0.088431,-0.005809
2010-12-31,-0.104975,-0.147939,-0.275321,-0.091680,-0.093236,-0.188259,0.095577
2011-01-31,-0.106458,-0.133015,-0.280317,-0.096257,-0.093924,-0.187438,0.172187
2011-02-28,-0.125882,-0.177704,-0.321401,-0.104635,-0.095711,-0.223839,0.162277
2011-03-31,-0.127753,-0.180588,-0.345926,-0.109055,-0.097691,-0.237832,0.245986
2011-04-30,-0.120160,-0.164510,-0.286508,-0.106767,-0.099612,-0.205562,0.187709
2011-05-31,-0.118818,-0.168579,-0.215317,-0.097433,-0.100360,-0.173632,0.184017
2011-06-30,-0.119894,-0.150018,-0.177941,-0.097739,-0.101100,-0.151240,0.197156
2011-07-31,-0.148797,-0.176010,-0.265866,-0.104972,-0.102216,-0.201088,0.222955
2011-08-31,-0.129220,-0.143556,-0.173578,-0.102263,-0.103092,-0.148161,0.128224
2011-09-30,-0.108174,-0.101550,-0.142557,-0.092841,-0.103425,-0.117669,0.014217
2011-10-31,-0.071262,-0.032427,-0.083317,-0.080546,-0.102684,-0.065029,0.167987
2011-11-30,-0.067847,-0.035134,-0.141710,-0.081089,-0.102641,-0.091009,0.192634
2011-12-31,-0.058054,-0.029715,-0.050466,-0.083657,-0.101969,-0.050927,0.121593
2012-01-31,-0.048797,-0.062568,-0.043349,-0.078035,-0.100607,-0.059648,0.109401
2012-02-29,-0.045993,-0.063628,-0.075502,-0.074077,-0.096963,-0.070300,0.169517
2012-03-31,-0.055610,-0.067804,-0.090662,-0.076540,-0.096963,-0.075195,0.120090
2012-04-30,-0.064985,-0.071485,-0.056891,-0.078709,-0.094645,-0.073456,0.167759
2012-05-31,-0.059029,-0.081573,-0.092260,-0.076143,-0.092750,-0.078927,0.068592
2012-06-30,-0.052570,-0.072953,-0.083922,-0.073048,-0.090905,-0.073001,0.074678
2012-07-31,-0.019409,-0.063830,-0.035365,-0.066586,-0.088998,-0.065317,0.148921
2012-08-31,-0.032269,-0.055780,-0.042355,-0.064180,-0.086945,-0.060431,0.129785
2012-09-30,-0.069557,-0.060675,-0.085630,-0.068752,-0.085539,-0.065156,0.133587
2012-10-31,-0.092546,-0.078775,-0.142745,-0.074067,-0.084891,-0.076238,0.118808
2012-11-30,-0.083898,-0.111021,-0.160160,-0.074200,-0.083260,-0.091749,0.158952
2012-12-31,-0.083463,-0.117594,-0.162854,-0.073625,-0.081491,-0.095086,0.151629
2013-01-31,-0.097044,-0.110610,-0.205792,-0.071841,-0.080198,-0.090891,0.228451
2013-02-28,-0.116565,-0.224774,-0.244827,-0.070094,-0.078998,-0.146670,0.242251
2013-03-31,-0.100046,-0.186861,-0.181082,-0.067811,-0.077435,-0.127386,0.149259
2013-04-30,-0.083751,-0.184482,-0.200297,-0.060490,-0.076200,-0.120013,0.027450
2013-05-31,-0.091211,-0.196313,-0.175715,-0.057965,-0.074685,-0.121066,0.056430
2013-06-30,-0.142852,-0.257744,-0.223699,-0.064749,-0.073800,-0.146975,-0.005157
2013-07-31,-0.273881,-0.222054,-0.200423,-0.067528,-0.072889,-0.124171,0.017732
2013-08-31,-0.319973,-0.206674,-0.191395,-0.070460,-0.071537,-0.113132,0.084130
2013-09-30,-0.327641,-0.221152,-0.221064,-0.070048,-0.070317,-0.108175,0.167906
2013-10-31,-0.308671,-0.239418,-0.263896,-0.069269,-0.069088,-0.100798,0.262215
2013-11-30,-0.317652,-0.239799,-0.262266,-0.068330,-0.067963,-0.089295,0.337126
2013-12-31,-0.326531,-0.230987,-0.277601,-0.065574,-0.066613,-0.065574,0.338146
2014-01-31,-0.205199,-0.202129,-0.224669,-0.063063,-0.065321,-0.063063,0.330676
2014-02-28,-0.162527,-0.207071,-0.156578,-0.051417,-0.063593,-0.051417,0.312491
2014-03-31,-0.168734,-0.190341,-0.097412,-0.045290,-0.061805,-0.045290,0.365621
2014-04-30,-0.173417,-0.221673,-0.159139,-0.046101,-0.060578,-0.046101,0.348673
2014-05-31,-0.176027,-0.210525,-0.221937,-0.049864,-0.060069,-0.049864,0.429414
2014-06-30,-0.123479,-0.224068,-0.210694,-0.044572,-0.059399,-0.044572,0.469879
2014-07-31,-0.064375,-0.184120,-0.103695,-0.043782,-0.059089,-0.043782,0.538535
2014-08-31,-0.062295,-0.197487,-0.081924,-0.045171,-0.058653,-0.045171,0.429193
2014-09-30,-0.037582,-0.103459,-0.106182,-0.039617,-0.057846,-0.039617,0.356648
2014-10-31,-0.051673,-0.105331,-0.066276,-0.034225,-0.056578,-0.034225,0.275521
2014-11-30,-0.043982,-0.045412,-0.017660,-0.026433,-0.054797,-0.026433,0.160048
2014-12-31,-0.026346,-0.011508,0.033178,-0.016474,-0.052619,-0.016474,0.283294
2015-01-31,0.000809,0.041647,0.070500,-0.011957,-0.050461,-0.011957,0.179426
2015-02-28,-0.003004,0.038097,0.043392,-0.009831,-0.048366,-0.009831,0.192153
2015-03-31,0.003071,0.062087,0.091266,-0.008536,-0.046394,-0.008536,0.126762
2015-04-30,-0.007656,0.040463,0.077000,-0.006525,-0.044155,-0.006525,0.146451
2015-05-31,-0.012385,0.069882,0.049611,-0.004821,-0.042032,-0.004821,0.087243
2015-06-30,-0.018494,0.054741,0.056594,-0.005677,-0.039497,-0.005677,0.043356
2015-07-31,-0.011284,0.090991,0.089711,0.004103,-0.036773,0.004103,-0.003661
2015-08-31,-0.006838,0.098493,0.057530,0.009867,-0.033713,0.009867,-0.014498
2015-09-30,-0.001770,0.097722,0.094441,0.014597,-0.031264,0.014597,-0.081376
2015-10-31,-0.003728,0.107668,0.088486,0.011990,-0.029222,0.011990,-0.078919
2015-11-30,-0.002724,0.086691,0.079392,0.011819,-0.027627,0.011819,-0.144020
2015-12-31,-0.006400,0.040518,0.039505,0.008081,-0.026649,0.008081,-0.307871
2016-01-31,0.014193,0.064953,0.093749,0.017088,-0.025043,0.017088,-0.206167
2016-02-29,0.003302,0.098971,0.098173,0.017271,-0.022881,0.017271,-0.143138
2016-03-31,0.010608,0.082264,0.040857,0.013076,-0.022881,0.013076,-0.042038
2016-04-30,0.009261,0.055311,0.084596,0.010119,-0.022117,0.010119,0.069844
