date,mean,enet,knn,rf,mlp,realized
1960-01-31,0.016108,0.016108,-0.000780,-0.005950,0.180705,-0.022298
1960-02-29,0.016108,0.016108,-0.005211,-0.009815,0.094562,-0.005167
1960-03-31,0.015704,0.016108,-0.010468,-0.009699,0.029059,0.028551
1960-04-30,0.015704,0.015704,-0.010434,-0.007667,0.022947,0.020967
1960-05-31,0.015542,0.015704,-0.005923,-0.008418,0.035763,0.020240
1960-06-30,0.015542,0.015704,0.002168,-0.008029,0.052822,-0.059733
1960-07-31,0.015592,0.015592,0.010546,0.000746,-0.007918,-0.038191
1960-08-31,0.015605,0.015592,0.036399,0.030098,-0.063177,-0.024930
1960-09-30,0.015399,0.015592,0.043923,0.030373,-0.071990,0.085762
1960-10-31,0.015253,0.015253,0.029575,0.031045,-0.076484,0.157146
1960-11-30,0.015253,0.015253,0.044933,0.031747,-0.053249,0.142240
1960-12-31,0.015335,0.015253,0.051134,0.029073,-0.068260,0.119601
1961-01-31,0.015719,0.015719,0.022312,0.047021,-0.022464,0.057138
1961-02-28,0.015719,0.015719,0.033312,0.056506,-0.023862,0.049180
1961-03-31,0.016338,0.015719,0.032391,0.055276,0.063867,-0.006456
1961-04-30,0.016338,0.016338,0.039842,0.056421,0.053399,0.022202
1961-05-31,0.016535,0.016338,0.039881,0.057086,0.052503,0.022686
1961-06-30,0.016535,0.016338,0.046753,0.054799,0.017938,0.032333
1961-07-31,0.016489,0.016489,0.036239,0.027637,-0.001491,0.027861
1961-08-31,0.016505,0.016489,0.022590,0.019137,0.067299,0.047745
1961-09-30,0.016547,0.016489,0.016365,0.015771,0.103365,0.072231
1961-10-31,0.016577,0.016577,0.018143,0.010891,0.073223,0.003206
1961-11-30,0.016577,0.016577,0.020115,0.015353,0.000016,-0.019069
1961-12-31,0.016805,0.016577,0.023655,0.016843,-0.000919,-0.027952
1962-01-31,0.016769,0.016769,0.022814,0.016538,0.013895,-0.052295
1962-02-28,0.016769,0.016769,0.011438,0.006243,-0.003273,-0.147656
1962-03-31,0.016559,0.016769,0.005877,0.006355,-0.008292,-0.212797
1962-04-30,0.016559,0.016559,0.004450,0.005351,-0.022881,-0.107449
1962-05-31,0.015956,0.016559,-0.007161,0.004412,-0.040819,-0.008553
1962-06-30,0.015956,0.016559,-0.010083,0.006411,-0.050157,0.027763
1962-07-31,0.015048,0.015048,0.004958,-0.008551,-0.037609,-0.029366
1962-08-31,0.014987,0.015048,-0.001126,-0.011711,-0.041705,0.053112
1962-09-30,0.015020,0.015048,0.007130,-0.009630,-0.034062,0.121379
1962-10-31,0.014907,0.014907,0.005664,-0.010258,-0.033153,0.171267
1962-11-30,0.014907,0.014907,0.006438,-0.009953,-0.037262,0.032605
1962-12-31,0.015275,0.014907,0.001902,-0.008611,-0.041362,0.054992
1963-01-31,0.015671,0.015671,0.014854,0.011594,-0.022403,0.054381
1963-02-28,0.015671,0.015671,0.007371,0.014010,-0.024850,0.101260
1963-03-31,0.015813,0.015671,0.005359,0.002620,-0.002745,0.042061
1963-04-30,0.015813,0.015813,0.001458,0.003816,0.006357,-0.009599
1963-05-31,0.016124,0.015813,-0.011815,-0.003231,-0.008258,0.024011
1963-06-30,0.016124,0.015813,-0.010845,-0.000058,-0.010938,0.033588
1963-07-31,0.016125,0.016125,-0.008133,0.002866,-0.018815,0.070592
1963-08-31,0.016144,0.016125,-0.009897,-0.001474,-0.029407,0.010069
1963-09-30,0.016188,0.016125,-0.010420,-0.001699,-0.016468,0.046304
1963-10-31,0.016323,0.016323,-0.005056,-0.004289,-0.001264,0.040940
1963-11-30,0.016323,0.016323,-0.008441,-0.001922,0.041636,0.062406
1963-12-31,0.016381,0.016323,-0.010682,-0.007485,-0.033403,0.052786
1964-01-31,0.016442,0.016442,-0.021118,0.000153,0.029114,0.031412
1964-02-29,0.016442,0.016442,-0.019087,0.000761,0.032446,0.033033
1964-03-31,0.016644,0.016442,-0.011452,0.000887,0.014792,0.034312
1964-04-30,0.016644,0.016644,-0.011452,0.001016,0.043149,0.046816
1964-05-31,0.016720,0.016644,-0.011123,-0.000074,0.007484,0.018166
1964-06-30,0.016720,0.016644,-0.009373,-0.000177,-0.019228,0.030481
1964-07-31,0.016835,0.016835,-0.002312,0.010309,-0.018474,0.020197
1964-08-31,0.016839,0.016835,0.000040,0.011373,-0.011960,0.031651
1964-09-30,0.016872,0.016835,-0.005747,-0.000893,-0.032625,0.006771
1964-10-31,0.016880,0.016880,-0.000682,0.009100,-0.046872,0.031817
1964-11-30,0.016880,0.016880,0.004747,0.007502,-0.061051,0.035655
1964-12-31,0.016891,0.016880,-0.000533,0.000345,-0.070047,0.016637
1965-01-31,0.016926,0.016926,-0.001614,0.000591,-0.065892,0.017702
1965-02-28,0.016926,0.016926,0.001801,0.011005,-0.067760,0.011323
1965-03-31,0.016970,0.016926,0.000983,0.002456,-0.066741,-0.023677
1965-04-30,0.016970,0.016970,0.004038,0.000076,-0.059865,-0.043317
1965-05-31,0.016959,0.016970,0.002531,0.007944,-0.062366,-0.014137
1965-06-30,0.016959,0.016970,0.000309,-0.001404,-0.064810,0.069425
1965-07-31,0.016721,0.016721,-0.003988,-0.004038,-0.037509,0.084106
1965-08-31,0.016648,0.016721,0.001111,-0.002692,-0.035779,0.050935
1965-09-30,0.016772,0.016721,-0.000169,-0.003623,-0.041080,0.027457
1965-10-31,0.016930,0.016930,0.000240,-0.002131,-0.050765,0.004977
1965-11-30,0.016930,0.016930,0.001560,0.004834,-0.043921,-0.004257
1965-12-31,0.017033,0.016930,-0.001466,-0.001264,-0.026807,-0.034621
1966-01-31,0.017005,0.017005,0.006815,0.005455,0.031081,-0.019595
1966-02-28,0.017005,0.017005,0.005521,0.004645,0.063956,-0.055799
1966-03-31,0.016837,0.017005,0.008292,0.002723,0.080281,-0.050319
1966-04-30,0.016837,0.016837,0.005680,0.002908,0.009062,-0.081924
1966-05-31,0.016585,0.016837,0.002123,0.003233,0.045806,-0.104842
1966-06-30,0.016585,0.016837,-0.001955,0.004867,0.007487,-0.096531
1966-07-31,0.016206,0.016206,-0.004131,-0.002104,-0.014522,-0.040670
1966-08-31,0.015929,0.016206,-0.007514,-0.001439,0.014978,0.043450
1966-09-30,0.015672,0.016206,-0.014135,0.002157,0.007996,0.049242
