date,prob_oos
1935-01-31,0.65011439379131
1935-02-28,0.6766733626620021
1935-03-31,0.6676446477471839
1935-04-30,0.6575653862744529
1935-05-31,0.5348300028327503
1935-06-30,0.49558759310869205
1935-07-31,0.4009380449332971
1935-08-31,0.32329501642483843
1935-09-30,0.33808388316214855
1935-10-31,0.30839784970713324
1935-11-30,0.2567746045101761
1935-12-31,0.2675589431550586
1936-01-31,0.2732769007416586
1936-02-29,0.24926981377650922
1936-03-31,0.28119845697681706
1936-04-30,0.3049351845799497
1936-05-31,0.45345896020936405
1936-06-30,0.4056109263264047
1936-07-31,0.41448378283678644
1936-08-31,0.3689834341800603
1936-09-30,0.39052279853517546
1936-10-31,0.4340518927940718
1936-11-30,0.3824665996857746
1936-12-31,0.41837868523789573
1937-01-31,0.4559927428862016
1937-02-28,0.4514808004316
1937-03-31,0.4811311333062317
1937-04-30,0.5410590550346996
1937-05-31,0.6611764736286889
1937-06-30,0.6704268313851076
1937-07-31,0.7142968457695733
1937-08-31,0.6291921010716328
1937-09-30,0.674098768682957
1937-10-31,0.784988295083761
1937-11-30,0.8235927766159614
1937-12-31,0.8510911906138283
1938-01-31,0.8492314094916725
1938-02-28,0.8012310400808582
1938-03-31,0.7071951555509481
1938-04-30,0.8739931676582445
1938-05-31,0.73920205796354
1938-06-30,0.7243010525928876
1938-07-31,0.3514942951501116
1938-08-31,0.26436527930460835
1938-09-30,0.3077514593847325
1938-10-31,0.29975138612146524
1938-11-30,0.2550775065540101
1938-12-31,0.35277809630339796
1939-01-31,0.34088970805519475
1939-02-28,0.5094790562010437
1939-03-31,0.5056591709350009
1939-04-30,0.7079693623738306
1939-05-31,0.6682017277506687
1939-06-30,0.6101388916551265
1939-07-31,0.6864516619747315
1939-08-31,0.5694464748840138
1939-09-30,0.6499893201654677
1939-10-31,0.511415127509443
1939-11-30,0.5169462290840366
1939-12-31,0.5921108453778398
1940-01-31,0.558896213000223
1940-02-29,0.6185583974505083
1940-03-31,0.6391488185275104
