date,prob_oos
2005-01-31,0.1525760283328397
2005-02-28,0.11618151682136552
2005-03-31,0.10532285220478163
2005-04-30,0.12806047377563437
2005-05-31,0.18344283696828725
2005-06-30,0.14318099823514396
2005-07-31,0.13490382949252513
2005-08-31,0.19307687980580912
2005-09-30,0.23621947172940935
2005-10-31,0.38886469977687016
2005-11-30,0.30762370975804815
2005-12-31,0.19245171204887648
2006-01-31,0.16582257571115966
2006-02-28,0.21247274536226712
2006-03-31,0.16175407327445218
2006-04-30,0.13098001835514764
2006-05-31,0.12512922743731866
2006-06-30,0.1487883279170754
2006-07-31,0.18883059595006643
2006-08-31,0.16559371134032286
2006-09-30,0.15370433350312837
2006-10-31,0.08568594142561099
2006-11-30,0.06956620802346208
2006-12-31,0.08736287590631184
2007-01-31,0.11977231394095392
2007-02-28,0.12546901929086196
2007-03-31,0.12778445711375028
2007-04-30,0.1762095683601669
2007-05-31,0.1473759825018513
2007-06-30,0.15470044420204787
2007-07-31,0.15104735683164003
2007-08-31,0.14499639751622523
2007-09-30,0.12490021340195469
2007-10-31,0.17273063543123135
2007-11-30,0.23115294619854465
2007-12-31,0.47454039372923107
2008-01-31,0.6926096428951574
2008-02-29,0.7933088544729172
2008-03-31,0.8726776233084079
2008-04-30,0.9093220917634959
2008-05-31,0.9169419820873913
2008-06-30,0.9094577533448895
2008-07-31,0.9343661541965941
2008-08-31,0.9493924971906491
2008-09-30,0.8927690271634792
2008-10-31,0.880426291412322
2008-11-30,0.9452676187808547
2008-12-31,0.8162237078591295
2009-01-31,0.716983288773108
2009-02-28,0.6026738611805706
2009-03-31,0.47788320651795235
2009-04-30,0.3591583180948639
2009-05-31,0.21273828421973606
2009-06-30,0.08677210765538088
2009-07-31,0.0464132389915726
2009-08-31,0.033250372094740716
2009-09-30,0.03714240156687352
2009-10-31,0.03773347446457355
2009-11-30,0.05882735111274706
2009-12-31,0.13033210902275885
2010-01-31,0.17870557677637244
2010-02-28,0.15415719182785398
2010-03-31,0.12646044383618704
2010-04-30,0.1321337934595699
2010-05-31,0.11910171040776515
2010-06-30,0.12030313271236655
2010-07-31,0.10169108033302883
2010-08-31,0.10346547366924512
2010-09-30,0.09154263951163275
2010-10-31,0.090149448589495
2010-11-30,0.08713246578166596
2010-12-31,0.08701975936455207
2011-01-31,0.10193952949340576
2011-02-28,0.10572603735888582
2011-03-31,0.11751930318649723
2011-04-30,0.14450713384719835
2011-05-31,0.1708710843964912
2011-06-30,0.1918739832957448
2011-07-31,0.1805076173200753
2011-08-31,0.1933484551827093
2011-09-30,0.21931833232307404
2011-10-31,0.25291712439292563
2011-11-30,0.25198449418270175
2011-12-31,0.21601627164476014
2012-01-31,0.1918414217543891
2012-02-29,0.19181458700898846
2012-03-31,0.17427589143865715
2012-04-30,0.1492617844282735
2012-05-31,0.12777156627603253
2012-06-30,0.10409714972829963
2012-07-31,0.11019925906117047
2012-08-31,0.10735305237911387
2012-09-30,0.11747026619795865
2012-10-31,0.12256918784013536
2012-11-30,0.1049448625172077
2012-12-31,0.08326118812692587
2013-01-31,0.08052200062402426
2013-02-28,0.07407015817802313
2013-03-31,0.08594110931576633
2013-04-30,0.07027905484816588
2013-05-31,0.057664026830709016
2013-06-30,0.06609879399962143
2013-07-31,0.08428714233062745
2013-08-31,0.0954381793206019
2013-09-30,0.07530182691828573
2013-10-31,0.06370100636742015
2013-11-30,0.05669527748816434
2013-12-31,0.060552787317367775
2014-01-31,0.06578486233634775
2014-02-28,0.0633233165051434
2014-03-31,0.048614763530846046
2014-04-30,0.05631464966567839
2014-05-31,0.05833390713290608
2014-06-30,0.048853743235110075
2014-07-31,0.041647661221228045
2014-08-31,0.04250982843283898
2014-09-30,0.04353827946139782
2014-10-31,0.05431693440484118
2014-11-30,0.06819767977001569
2014-12-31,0.07712042707250436
2015-01-31,0.07489717630525695
2015-02-28,0.059753215320208664
2015-03-31,0.04972999801797489
2015-04-30,0.049671556634431915
2015-05-31,0.05541513197510497
2015-06-30,0.05306865456203913
2015-07-31,0.06339477547183858
2015-08-31,0.0865311948086889
2015-09-30,0.11238148267121233
2015-10-31,0.1369851273120752
2015-11-30,0.19045669877657276
2015-12-31,0.2096079441345366
2016-01-31,0.24172310688302112
2016-02-29,0.2502417999254877
2016-03-31,0.18458168602777056
2016-04-30,0.15021093606916866
2016-05-31,0.12233938182906151
2016-06-30,0.08766001247292739
2016-07-31,0.0931434210701459
2016-08-31,0.07631833949510088
2016-09-30,0.08295228625028209
2016-10-31,0.09348275776570537
2016-11-30,0.09576873934223482
2016-12-31,0.09427054755800146
2017-01-31,0.08683921116191708
2017-02-28,0.091690216082421
2017-03-31,0.09195992784767112
2017-04-30,0.07040552488536306
2017-05-31,0.06565223228930675
2017-06-30,0.0581408264704123
2017-07-31,0.052036726802746944
2017-08-31,0.054838367915358746
2017-09-30,0.05920688558083567
2017-10-31,0.07346569713292055
2017-11-30,0.08454038094998158
2017-12-31,0.08789205225682942
2018-01-31,0.08750257563315289
2018-02-28,0.08754601982003322
2018-03-31,0.09023751411207429
2018-04-30,0.1105000082775417
2018-05-31,0.11577915220583664
2018-06-30,0.13784934569138024
2018-07-31,0.1600869644652256
2018-08-31,0.19158612521672536
2018-09-30,0.16412579281825534
2018-10-31,0.14443258941225093
2018-11-30,0.16587482156244948
2018-12-31,0.16130479552850732
2019-01-31,0.18266931690169436
2019-02-28,0.17248162573776363
2019-03-31,0.15338090244551525
2019-04-30,0.15569124043781374
2019-05-31,0.1720594224060897
2019-06-30,0.142570124477982
2019-07-31,0.1684078969227935
2019-08-31,0.17301873702685217
2019-09-30,0.15123291455867824
2019-10-31,0.1522271030971297
2019-11-30,0.1945370015814873
2019-12-31,0.2540465631532442
2020-01-31,0.2931284032914393
2020-02-29,0.31789035167266744
2020-03-31,0.2543442190287862
2020-04-30,0.5418045820199038
2020-05-31,0.6131254773995973
2020-06-30,0.33789166152102484
2020-07-31,0.28721957325121156
2020-08-31,0.32414169225111467
2020-09-30,0.30345823764525265
2020-10-31,0.1998551934725189
2020-11-30,0.1342768547916507
2020-12-31,0.111011830857259
2021-01-31,0.10476326135039828
2021-02-28,0.08367420067743694
2021-03-31,0.08819185410258193
2021-04-30,0.16777865261548663
2021-05-31,0.40831457833396095
2021-06-30,0.5037414687770662
2021-07-31,0.5753400376829991
2021-08-31,0.586220629879527
2021-09-30,0.5848506622735408
2021-10-31,0.6187004246468709
2021-11-30,0.7176572516332812
2021-12-31,0.761995733134078
2022-01-31,0.7553787994533452
2022-02-28,0.7752458435641869
2022-03-31,0.8110520459983133
2022-04-30,0.8684164371803941
2022-05-31,0.7859311381835139
2022-06-30,0.7295812387997062
2022-07-31,0.6453023866375228
2022-08-31,0.5025611400047563
2022-09-30,0.25758717888165816
2022-10-31,0.21335484990315232
2022-11-30,0.1405836540560109
2022-12-31,0.08711424106790056
2023-01-31,0.07156603838194604
2023-02-28,0.07157167732807651
2023-03-31,0.07424742589487934
2023-04-30,0.07121220814306493
2023-05-31,0.08150303037244766
2023-06-30,0.1002068361209536
2023-07-31,0.09313302937366391
2023-08-31,0.10967171819600535
2023-09-30,0.12414218290828291
2023-10-31,0.12151743816876318
2023-11-30,0.1203019583171964
2023-12-31,0.13768409895395095
2024-01-31,0.11872942855360107
2024-02-29,0.0949443449859397
2024-03-31,0.10083014022375643
2024-04-30,0.11135952773729188
2024-05-31,0.10391964960427033
2024-06-30,0.097913492809767
2024-07-31,0.08886827676473646
2024-08-31,0.09318455781790987
2024-09-30,0.08572872805570418
2024-10-31,0.10180084170204232
2024-11-30,0.1229732838023007
2024-12-31,0.14004269039115455
2025-01-31,0.1547015761583955
2025-02-28,0.18602794663443736
2025-03-31,0.1703045306306118
2025-04-30,0.13795321390153203
2025-05-31,0.12330439297584798
2025-06-30,0.11100632392951128
2025-07-31,0.09248813867514188
2025-08-31,0.07457428147282269
2025-09-30,0.08029042231912537
2025-10-31,0.08504985851844042
2025-11-30,0.09378591676308554
2025-12-31,0.10063504857267763
2026-01-31,0.11126834610366923
2026-02-28,0.09692933557766167
2026-03-31,0.09178505812242177
2026-04-30,0.12409316102188152
2026-05-31,0.1335534966582582
2026-06-30,0.09727910204757552
