Date,enet,rf,knn,rsz,mean,ensemble,realized
2008-01-31,0.014793,-0.025906,-0.028647,-0.024771,-0.031220,-0.024771,-0.239645
2008-02-29,-0.012626,-0.039429,-0.039832,-0.025512,-0.030652,-0.025512,-0.151664
2008-03-31,0.040294,-0.016190,-0.036114,-0.023160,-0.031620,-0.023160,-0.212213
2008-04-30,0.053151,-0.010748,-0.035888,-0.021150,-0.031782,-0.021150,0.107171
2008-05-31,0.047248,-0.006393,-0.014420,-0.030886,-0.034735,-0.030886,0.150950
2008-06-30,0.054123,-0.006514,-0.017601,-0.031910,-0.034735,-0.031910,0.269417
2008-07-31,-0.005495,-0.020368,-0.049678,-0.032850,-0.035050,-0.032850,0.143251
2008-08-31,0.021964,-0.007855,-0.032811,-0.025759,-0.035050,-0.025759,0.091945
2008-09-30,0.035848,-0.002041,-0.009312,-0.013158,-0.033418,-0.013158,0.130335
2008-10-31,0.053021,0.002852,0.017584,-0.002821,-0.030785,-0.002821,0.074522
2008-11-30,0.057759,0.007422,0.001229,0.015016,-0.029284,0.015016,0.105507
2008-12-31,0.068471,0.013882,0.007445,0.026040,-0.026904,0.026040,0.024108
2009-01-31,0.157432,0.038326,0.051396,0.034284,-0.026904,0.034284,-0.053156
2009-02-28,0.171311,0.036651,0.055720,0.033182,-0.026052,0.033182,-0.131971
2009-03-31,0.171311,0.034466,0.054704,0.033130,-0.024956,0.033130,-0.045234
2009-04-30,0.171311,0.037614,0.040512,0.026579,-0.024550,0.026579,0.047025
2009-05-31,0.171311,0.036770,0.055081,0.006919,-0.025656,0.006919,0.118391
2009-06-30,0.171311,0.034658,0.042675,0.000358,-0.025656,0.000358,-0.032658
2009-07-31,-0.025231,0.033694,0.024569,-0.004642,-0.025231,-0.004642,-0.084711
2009-08-31,-0.025231,0.029889,0.024003,-0.011952,-0.025231,-0.011952,-0.038658
2009-09-30,-0.025231,0.030827,0.022718,-0.006089,-0.024091,-0.006089,0.026635
2009-10-31,-0.025231,0.022772,0.024612,-0.012753,-0.024159,-0.012753,0.128718
2009-11-30,-0.025231,0.015256,0.011108,-0.013158,-0.024632,-0.013158,0.035711
2009-12-31,-0.025231,0.013234,0.004169,-0.016927,-0.024345,-0.016927,0.025100
2010-01-31,-0.024345,0.001849,-0.035299,-0.016838,-0.024345,-0.016838,-0.112598
2010-02-28,-0.024345,-0.019128,-0.038000,-0.015559,-0.023177,-0.015559,-0.025762
2010-03-31,-0.024345,-0.024822,-0.034141,-0.018009,-0.022731,-0.025932,0.014508
2010-04-30,-0.024345,-0.028490,-0.058607,-0.017281,-0.022371,-0.034902,0.027118
2010-05-31,-0.024345,-0.025762,-0.046700,-0.019195,-0.023065,-0.030378,0.008748
2010-06-30,-0.024345,-0.052413,-0.054851,-0.020042,-0.023065,-0.048320,-0.046844
2010-07-31,-0.022424,-0.032695,-0.030140,-0.017335,-0.022424,-0.029678,-0.008740
2010-08-31,-0.022424,-0.033634,-0.052805,-0.016695,-0.022424,-0.034223,-0.147671
2010-09-30,-0.022424,-0.047518,-0.058358,-0.014872,-0.022198,-0.044113,-0.184376
2010-10-31,-0.022424,-0.045765,-0.045109,-0.018947,-0.022376,-0.041115,-0.218667
2010-11-30,-0.022424,-0.041476,-0.044081,-0.017837,-0.022278,-0.038977,-0.173119
2010-12-31,-0.022424,-0.048704,-0.061719,-0.022339,-0.024303,-0.050608,-0.116532
2011-01-31,-0.039052,-0.056013,-0.075016,-0.024420,-0.024303,-0.060746,0.013533
2011-02-28,-0.041276,-0.047236,-0.067447,-0.024259,-0.025662,-0.053723,0.125233
2011-03-31,-0.042041,-0.059521,-0.080261,-0.028284,-0.026686,-0.066367,0.130036
2011-04-30,-0.042919,-0.053219,-0.075887,-0.028382,-0.027306,-0.060489,0.019535
2011-05-31,-0.041034,-0.058635,-0.081817,-0.025405,-0.025990,-0.063731,0.036045
2011-06-30,-0.038161,-0.051561,-0.057027,-0.021542,-0.025990,-0.050161,0.118303
2011-07-31,-0.026444,-0.046861,-0.057351,-0.020382,-0.024637,-0.045143,0.073470
2011-08-31,-0.026645,-0.051983,-0.062148,-0.022946,-0.024637,-0.049104,-0.016705
2011-09-30,-0.026957,-0.042115,-0.079951,-0.019714,-0.024233,-0.038865,-0.087090
2011-10-31,-0.026741,-0.028453,-0.012823,-0.010780,-0.023289,-0.025239,0.054378
2011-11-30,-0.027439,-0.024669,-0.069342,-0.018104,-0.022652,-0.023434,0.012821
2011-12-31,-0.028202,-0.021732,-0.047330,-0.016563,-0.023032,-0.020872,0.047737
2012-01-31,-0.026002,-0.013158,-0.035092,-0.014044,-0.023032,-0.013342,0.041381
2012-02-29,-0.027789,-0.027914,-0.050482,-0.019141,-0.022533,-0.026031,0.151172
2012-03-31,-0.028311,-0.025913,-0.060800,-0.017561,-0.022306,-0.023987,0.086598
2012-04-30,-0.025999,-0.018965,-0.040614,-0.015619,-0.021860,-0.018150,0.046573
2012-05-31,-0.027691,-0.024564,-0.038594,-0.016861,-0.020374,-0.022441,-0.049382
2012-06-30,-0.027524,-0.022344,-0.035294,-0.013977,-0.020374,-0.019849,-0.050570
2012-07-31,-0.018534,-0.003033,-0.015891,-0.015408,-0.019294,-0.006853,0.010398
2012-08-31,-0.018753,0.005923,-0.016674,-0.014875,-0.019294,-0.000394,0.043317
2012-09-30,-0.018970,-0.002542,-0.001129,-0.015756,-0.019479,-0.006453,0.021804
2012-10-31,-0.021441,-0.025301,-0.068699,-0.018749,-0.019670,-0.023370,-0.002945
2012-11-30,-0.027579,-0.016323,-0.041613,-0.016842,-0.019487,-0.016472,-0.013269
2012-12-31,-0.028012,-0.037733,-0.050839,-0.016802,-0.018860,-0.031775,0.041744
2013-01-31,-0.038557,-0.019363,-0.059866,-0.015402,-0.018860,-0.018229,0.091351
2013-02-28,-0.040649,-0.034599,-0.049646,-0.015674,-0.018764,-0.028712,0.071229
2013-03-31,-0.043754,-0.024082,-0.033332,-0.014731,-0.018732,-0.020706,0.048820
2013-04-30,-0.050095,-0.028303,-0.046910,-0.014803,-0.018374,-0.023335,0.024775
2013-05-31,-0.047964,-0.022222,-0.016262,-0.009401,-0.017208,-0.017063,0.009556
2013-06-30,-0.052083,-0.026021,-0.041472,-0.010027,-0.017208,-0.018017,0.003188
2013-07-31,-0.016584,-0.001268,-0.007031,-0.009328,-0.016584,-0.008714,-0.014464
2013-08-31,-0.016584,-0.011033,0.001329,-0.014908,-0.016584,-0.014908,0.062726
2013-09-30,-0.016584,-0.010953,-0.010124,-0.014754,-0.016434,-0.014754,0.027865
2013-10-31,-0.016584,-0.009872,-0.012845,-0.012832,-0.016322,-0.012832,0.095165
2013-11-30,-0.016584,-0.009855,-0.006975,-0.013664,-0.016311,-0.013664,0.061351
2013-12-31,-0.016584,-0.004701,-0.009384,-0.011519,-0.015619,-0.011519,0.047502
2014-01-31,-0.015619,0.002153,0.001900,-0.011957,-0.015619,-0.011957,-0.087588
2014-02-28,-0.015619,-0.000670,0.003893,-0.009873,-0.015000,-0.009873,-0.083373
2014-03-31,-0.015619,0.000662,0.023688,-0.008036,-0.014576,-0.008036,-0.085267
2014-04-30,-0.015619,0.003315,0.010983,-0.005848,-0.014233,-0.005848,0.016324
2014-05-31,-0.015619,-0.007681,-0.013690,-0.010910,-0.015011,-0.010910,0.031285
2014-06-30,-0.015619,-0.014995,0.002685,-0.009047,-0.015011,-0.009047,0.144425
2014-07-31,-0.015222,-0.018483,-0.008900,-0.011220,-0.015222,-0.011220,0.199010
2014-08-31,-0.015222,-0.015409,0.016671,-0.009244,-0.015222,-0.009244,0.281380
2014-09-30,-0.015222,-0.011454,-0.003886,-0.010590,-0.014972,-0.010590,0.194938
2014-10-31,-0.015222,-0.006029,0.001805,-0.006489,-0.014119,-0.006489,0.163955
2014-11-30,-0.015222,0.002714,0.009647,-0.003748,-0.012986,-0.003748,0.045496
2014-12-31,-0.015222,0.004117,-0.015462,0.000425,-0.010342,0.000425,0.076518
2015-01-31,-0.010342,0.031428,0.024860,0.002404,-0.010342,0.002404,-0.063690
2015-02-28,-0.010342,0.004699,0.011661,-0.000919,-0.009430,-0.000919,0.041510
2015-03-31,-0.010342,0.007002,0.019691,-0.001072,-0.009143,-0.001072,0.054361
2015-04-30,-0.010342,0.008537,0.017372,0.000452,-0.008700,0.000452,0.227018
2015-05-31,-0.010342,0.013444,0.000971,-0.002459,-0.008724,-0.002459,0.090800
2015-06-30,-0.010342,0.014536,0.018991,-0.000323,-0.008724,-0.000323,0.073266
2015-07-31,-0.007207,0.031621,0.031397,0.003920,-0.007207,0.003920,-0.052946
2015-08-31,-0.007207,0.035174,0.025103,0.007540,-0.007207,0.007540,-0.019035
2015-09-30,-0.007207,0.029380,0.034737,0.005095,-0.006712,0.005095,0.097632
2015-10-31,-0.007207,0.035789,0.032067,0.006091,-0.006310,0.006091,0.072281
2015-11-30,-0.007207,0.029264,0.045469,0.004307,-0.006544,0.004307,0.095970
2015-12-31,-0.007207,0.031787,0.019809,0.005317,-0.006090,0.005317,-0.088981
2016-01-31,-0.006090,0.027185,0.011815,0.005073,-0.006090,0.005073,-0.114160
2016-02-29,-0.006090,0.032909,0.048983,0.003972,-0.005704,0.003972,-0.109133
2016-03-31,-0.006090,0.021046,0.042938,0.004660,-0.005205,0.004660,-0.047621
2016-04-30,-0.006090,0.023448,0.023701,0.001710,-0.005614,0.001710,0.077061
2016-05-31,-0.006090,0.017121,-0.001893,-0.001025,-0.006638,-0.001025,-0.007405
2016-06-30,-0.006090,0.024083,-0.020215,0.001041,-0.006638,0.001041,-0.031514
2016-07-31,-0.006434,0.005429,-0.026590,-0.003037,-0.006434,-0.003037,-0.125346
2016-08-31,-0.006434,-0.003537,-0.045218,-0.000708,-0.006434,-0.000708,-0.144432
2016-09-30,-0.006434,0.010088,-0.011139,0.000612,-0.006439,0.000612,-0.112110
2016-10-31,-0.006434,0.003914,-0.019437,-0.001088,-0.006557,-0.001088,-0.016484
2016-11-30,-0.006434,0.033944,-0.027603,-0.000495,-0.007118,-0.000495,0.131457
2016-12-31,-0.006434,0.026765,-0.051222,-0.003479,-0.008250,-0.003479,0.148922
2017-01-31,-0.008250,0.009136,-0.027571,-0.003611,-0.008250,-0.003611,0.138328
2017-02-28,-0.008250,0.003052,-0.028209,-0.002872,-0.008288,-0.002872,0.095930
2017-03-31,-0.008250,0.014878,0.031478,0.000609,-0.007641,0.003615,0.134710
2017-04-30,-0.008250,0.013714,0.010547,-0.000400,-0.006920,0.004267,0.073571
2017-05-31,-0.008250,0.010617,0.019150,0.002013,-0.005787,0.005115,0.103844
2017-06-30,-0.008250,-0.003661,-0.004640,0.002622,-0.005787,-0.000012,-0.033507
2017-07-31,-0.004792,0.005495,0.005733,0.002801,-0.004792,0.003984,-0.013779
2017-08-31,-0.004792,0.003095,-0.012042,0.002157,-0.004792,0.001963,-0.081201
2017-09-30,-0.004792,-0.016905,-0.029734,0.001409,-0.004303,-0.007463,-0.046557
2017-10-31,-0.004792,0.009751,-0.030967,0.003056,-0.004434,0.005478,-0.019012
2017-11-30,-0.004792,0.013560,-0.019401,0.002141,-0.004475,0.004122,0.039779
2017-12-31,-0.004792,-0.019325,-0.019539,0.000749,-0.005001,-0.009676,0.048454
2018-01-31,-0.013411,-0.036078,-0.062491,-0.000831,-0.005001,-0.026678,-0.056134
2018-02-28,-0.009821,-0.020251,-0.004490,-0.000223,-0.005063,-0.008225,-0.164277
2018-03-31,0.004184,0.021755,0.045999,0.002411,-0.004866,0.023647,-0.105043
2018-04-30,-0.010095,-0.021167,-0.037885,0.001000,-0.004633,-0.020860,0.033187
2018-05-31,-0.009897,-0.024347,-0.016532,-0.000832,-0.005547,-0.015470,0.144175
2018-06-30,-0.006945,0.005188,-0.004792,-0.000971,-0.005547,0.000297,0.140287
2018-07-31,-0.003405,0.008130,-0.028951,0.000155,-0.005808,-0.005107,0.124463
2018-08-31,-0.001861,0.021823,-0.030207,0.000862,-0.005808,-0.000185,0.143129
2018-09-30,-0.010302,0.022423,-0.004863,0.001281,-0.005167,0.007947,0.149044
2018-10-31,-0.005037,0.020275,-0.007074,0.002401,-0.004548,0.009317,0.068294
2018-11-30,0.001775,0.011423,-0.012324,0.004173,-0.004002,0.008175,-0.035903
2018-12-31,0.006493,0.012541,0.016358,0.004879,-0.002740,0.009358,-0.097442
2019-01-31,0.045026,0.010978,0.018385,0.009919,-0.002740,0.010545,-0.056547
2019-02-28,0.004785,0.009131,0.006358,0.004940,-0.002443,0.007458,0.048111
2019-03-31,0.022968,0.016491,-0.018145,0.005754,-0.002583,0.012219,0.041662
2019-04-30,0.022713,0.022862,-0.005847,0.005201,-0.002976,0.015251,0.068342
2019-05-31,0.024771,0.026959,-0.010077,0.004823,-0.002986,0.017411,0.055490
2019-06-30,0.012604,0.018817,-0.034027,0.003729,-0.002986,0.012556,0.039238
2019-07-31,-0.011100,0.016399,-0.010271,0.002743,-0.002513,0.011399,0.111071
2019-08-31,0.001915,0.011337,-0.027501,0.003624,-0.002513,0.008715,0.068784
2019-09-30,-0.014365,0.005958,-0.035616,0.002171,-0.002277,0.004796,0.087502
2019-10-31,0.005004,0.017441,-0.000774,0.004141,-0.002109,0.013570,0.098651
2019-11-30,-0.007271,-0.012653,-0.041948,0.003690,-0.001653,-0.008115,0.141351
2019-12-31,0.001233,0.009680,-0.023423,0.006202,-0.001014,0.008719,0.379004
2020-01-31,0.021747,0.008687,0.005590,0.005687,-0.001014,0.007888,0.283844
2020-02-29,0.002508,0.003990,-0.033276,0.006468,-0.000617,0.004695,0.242342
2020-03-31,0.004101,0.012190,-0.012142,0.007394,-0.000054,0.010754,-0.184681
2020-04-30,-0.009775,0.000799,0.014419,0.012799,0.001444,0.003659,0.102323
2020-05-31,0.043907,0.005038,0.011112,0.016992,0.003496,0.011825,0.123861
2020-06-30,0.058462,0.007244,0.020356,0.018600,0.003496,0.014866,0.253954
2020-07-31,-0.000419,0.026774,0.014648,0.014497,0.003149,0.021128,0.156931
2020-08-31,-0.057403,0.024917,0.023034,0.012316,0.003149,0.010130,-0.030398
2020-09-30,-0.027181,0.011861,0.034476,0.013280,0.003617,0.001473,-0.202469
2020-10-31,0.046129,0.016246,0.034507,0.021798,0.004583,0.025851,-0.251210
2020-11-30,0.016984,0.010950,0.040814,0.021051,0.005169,0.015612,-0.296983
2020-12-31,0.122911,0.022186,0.041820,0.018226,0.004241,0.060983,-0.275531
2021-01-31,0.023094,0.013081,0.024611,0.013949,0.004241,0.016009,-0.211002
2021-02-28,0.011602,0.008086,0.018790,0.008929,0.003270,0.009010,0.005579
2021-03-31,0.034971,0.007444,0.018112,0.004638,0.002132,0.006960,-0.026162
2021-04-30,0.006359,0.034969,-0.011029,0.002733,0.001084,0.030905,0.083209
2021-05-31,-0.020667,-0.009167,0.022259,0.000054,0.000307,-0.008098,0.161701
2021-06-30,-0.044484,0.023112,-0.004725,-0.000316,0.000307,0.020454,0.035575
2021-07-31,0.001246,0.033489,0.025380,0.003632,0.000517,0.030179,-0.161527
2021-08-31,0.029518,0.023091,0.011250,0.006452,0.000517,0.021057,-0.178744
2021-09-30,0.024644,0.024689,0.007623,0.007885,0.001114,0.022328,0.031749
2021-10-31,0.043808,0.032193,0.029769,0.009306,0.001241,0.028326,-0.177471
2021-11-30,0.080323,0.030053,0.014078,0.010697,0.000642,0.026904,-0.304029
2021-12-31,0.073657,0.040522,0.024695,0.009854,0.000101,0.035321,-0.415120
2022-01-31,0.031292,0.025520,-0.000677,0.008555,0.000101,0.022596,-0.154989
2022-02-28,0.009977,0.035681,0.008017,0.000337,-0.000544,0.000337,-0.226655
2022-03-31,0.021221,0.048671,-0.040418,-0.000487,-0.001644,-0.000487,-0.005918
2022-04-30,0.022830,0.020599,-0.020252,-0.007550,-0.003137,-0.007550,-0.034730
2022-05-31,0.037081,0.044371,0.028028,-0.010914,-0.004482,-0.010914,0.013973
2022-06-30,0.056683,0.044411,0.032194,-0.010877,-0.004482,-0.010877,-0.069947
2022-07-31,-0.004595,0.007605,-0.045192,-0.006821,-0.004595,-0.006821,-0.153540
