date,mean,enet,knn,rf,mlp,realized
1960-01-31,0.031041,0.018694,0.003685,-0.006607,0.118963,-0.001798
1960-02-29,0.031041,0.019123,-0.006080,-0.014763,0.068149,0.014968
1960-03-31,0.030628,0.020383,-0.011036,-0.011567,-0.007583,-0.032888
1960-04-30,0.030628,0.020498,-0.004484,-0.009652,-0.042991,-0.018025
1960-05-31,0.030188,0.020254,0.000412,-0.011833,-0.043412,-0.005194
1960-06-30,0.030188,0.020549,0.011599,-0.011359,-0.024455,0.020907
1960-07-31,0.029878,0.019013,0.031538,0.004259,-0.045821,0.112953
1960-08-31,0.029837,0.019747,0.081135,0.040669,-0.019657,0.113764
1960-09-30,0.029837,0.019405,0.078078,0.051640,-0.016829,0.215620
1960-10-31,0.029533,0.020077,0.057495,0.040663,-0.003311,0.223263
1960-11-30,0.029533,0.020878,0.087825,0.045920,0.005354,0.198415
1960-12-31,0.029415,0.019914,0.083067,0.049768,-0.009938,0.112373
1961-01-31,0.029642,0.019475,0.045884,0.080588,0.025815,0.080609
1961-02-28,0.029642,0.018063,0.058278,0.083544,0.014160,0.072982
1961-03-31,0.030374,0.016979,0.064733,0.077398,0.026262,0.025669
1961-04-30,0.030374,0.017103,0.068089,0.081614,-0.010438,0.050681
1961-05-31,0.031347,0.016439,0.082008,0.084080,-0.014468,0.071514
1961-06-30,0.031347,0.016182,0.088727,0.084069,-0.032723,0.106900
1961-07-31,0.031696,0.031696,0.054660,0.062460,0.002047,0.031156
1961-08-31,0.031807,0.031696,0.045910,0.032056,0.079241,0.027766
1961-09-30,0.031807,0.031696,0.033722,0.030914,0.102627,0.042260
1961-10-31,0.031841,0.031841,0.040516,0.029135,0.083655,-0.049257
1961-11-30,0.031841,0.031841,0.041347,0.025079,-0.003787,-0.163909
1961-12-31,0.032144,0.031841,0.053604,0.010015,-0.004249,-0.234801
1962-01-31,0.032141,0.032141,0.029558,0.014656,-0.020531,-0.154125
1962-02-28,0.032141,0.032141,0.004435,0.009032,-0.039389,-0.154946
1962-03-31,0.032157,0.032141,0.011133,0.010264,-0.040266,-0.190942
1962-04-30,0.032157,0.032157,-0.002040,0.008229,-0.044389,-0.133660
1962-05-31,0.031432,0.032157,0.003032,0.001387,-0.064394,0.044105
1962-06-30,0.031432,0.032157,0.004472,-0.021638,-0.087147,0.152511
1962-07-31,0.030259,0.022354,0.046129,-0.024871,-0.067785,0.136871
1962-08-31,0.029779,0.021833,0.021004,-0.027883,-0.066715,0.087449
1962-09-30,0.029779,0.021149,0.039438,-0.024906,-0.043008,0.183046
1962-10-31,0.028789,0.020102,0.030448,-0.025229,-0.045268,0.234961
1962-11-30,0.028789,0.021072,0.031909,-0.021897,-0.034592,0.137167
1962-12-31,0.029145,0.019270,0.009611,-0.012286,-0.030024,0.099366
1963-01-31,0.029421,0.019059,0.012924,0.001077,-0.032338,0.044260
1963-02-28,0.029421,0.018162,-0.004133,0.001777,-0.023683,0.127703
1963-03-31,0.029959,0.017895,-0.004611,-0.017748,-0.043758,0.077062
1963-04-30,0.029959,0.018792,-0.003443,-0.014741,-0.051496,0.060315
1963-05-31,0.030750,0.017742,-0.023097,-0.032888,-0.044571,0.034322
1963-06-30,0.030750,0.017332,-0.012294,-0.017204,-0.033131,0.081447
1963-07-31,0.030957,0.018741,-0.011492,-0.030428,-0.019344,0.114422
1963-08-31,0.031200,0.019216,0.000708,-0.028435,-0.009736,0.073103
1963-09-30,0.031200,0.018642,-0.024314,-0.033479,-0.021125,0.101534
1963-10-31,0.031387,0.031387,-0.017347,-0.030409,-0.030058,0.073639
1963-11-30,0.031387,0.031387,-0.022933,-0.026949,-0.023238,0.097501
1963-12-31,0.031519,0.031387,-0.021948,-0.030254,-0.024982,0.088910
1964-01-31,0.031725,0.031725,-0.025171,-0.020246,-0.036983,0.079699
1964-02-29,0.031725,0.031725,-0.019421,-0.019269,-0.041982,0.051799
1964-03-31,0.031999,0.031725,-0.011788,-0.018786,-0.039114,0.065839
1964-04-30,0.031999,0.031999,-0.015657,-0.016185,-0.041219,0.067959
1964-05-31,0.032262,0.031999,-0.011834,-0.016774,-0.045643,0.050392
1964-06-30,0.032262,0.031999,-0.013785,-0.017129,-0.048791,0.037459
1964-07-31,0.032517,0.032517,-0.007535,-0.001746,-0.040267,0.052657
1964-08-31,0.032564,0.032517,-0.009462,-0.001392,-0.031544,0.068435
1964-09-30,0.032564,0.032517,-0.004249,-0.003863,-0.043897,0.023521
1964-10-31,0.032731,0.032731,-0.001573,-0.002800,-0.043527,0.050082
1964-11-30,0.032731,0.032731,-0.000729,-0.002921,-0.052008,0.047382
1964-12-31,0.032785,0.032731,0.000439,-0.001790,-0.049343,-0.007434
1965-01-31,0.032833,0.032833,0.004169,0.006503,-0.053732,-0.026382
1965-02-28,0.032833,0.032833,0.003242,0.006321,-0.056162,-0.002974
1965-03-31,0.032896,0.032833,0.008335,0.005440,-0.054213,0.044104
1965-04-30,0.032896,0.032896,0.006264,0.005964,-0.046720,0.037145
1965-05-31,0.032971,0.032896,0.011449,0.004412,-0.048569,0.036078
1965-06-30,0.032971,0.032896,0.005561,0.002813,-0.053631,0.098787
1965-07-31,0.032734,0.032734,0.008053,-0.002099,-0.023977,0.089501
1965-08-31,0.032650,0.032734,0.018409,0.003805,-0.019641,0.046461
1965-09-30,0.032650,0.032734,0.009312,0.001142,-0.027584,-0.008115
1965-10-31,0.032687,0.032687,0.013100,-0.000233,-0.033014,-0.014715
1965-11-30,0.032687,0.032687,0.009083,-0.003213,-0.026921,-0.059819
1965-12-31,0.032850,0.032687,0.011778,0.003443,-0.030637,-0.083198
1966-01-31,0.032983,0.032983,0.019611,0.010484,0.068045,-0.099914
1966-02-28,0.032983,0.032983,0.016966,0.010024,0.109912,-0.154791
1966-03-31,0.032919,0.032983,0.009306,0.008520,0.107179,-0.141993
1966-04-30,0.032919,0.032919,0.011367,0.008446,0.052572,-0.119262
1966-05-31,0.032593,0.032919,0.010673,0.009278,0.084469,-0.065947
1966-06-30,0.032593,0.032919,0.003026,0.013526,0.059337,-0.052041
1966-07-31,0.032019,0.032019,-0.004231,0.005351,0.000390,0.036005
1966-08-31,0.031589,0.032019,-0.007915,0.008035,0.043932,0.125551
1966-09-30,0.031589,0.032019,-0.002837,0.017107,0.052551,0.178161
1966-10-31,0.030845,0.030845,-0.006985,0.026278,0.068920,0.172195
1966-11-30,0.030845,0.030845,-0.010806,0.025869,0.101871,0.107272
1966-12-31,0.030435,0.030845,-0.018952,0.021674,0.142037,0.128346
1967-01-31,0.030447,0.030447,0.035966,0.014923,0.031623,0.093985
1967-02-28,0.030447,0.030447,0.039849,0.021631,0.057134,0.079050
1967-03-31,0.030998,0.030447,0.050364,0.054853,0.084702,0.072173
1967-04-30,0.030998,0.030998,0.043649,0.016534,0.106667,-0.007552
1967-05-31,0.031489,0.030998,0.053274,0.007512,0.138556,0.055231
1967-06-30,0.031489,0.030998,0.037906,-0.000983,0.146103,0.064320
1967-07-31,0.031847,0.031847,0.024344,0.007232,0.138514,-0.026491
1967-08-31,0.031953,0.031847,0.047877,0.012106,0.210929,-0.045707
1967-09-30,0.031953,0.031847,0.055618,0.022456,0.150447,-0.067315
1967-10-31,0.031954,0.031954,0.023595,0.017076,0.241263,0.044587
1967-11-30,0.031954,0.031954,0.001339,0.017251,0.243434,0.049787
1967-12-31,0.032078,0.031954,0.003091,0.025071,0.208014,0.032238
1968-01-31,0.031948,0.031948,-0.001898,0.015156,0.347388,0.059627
1968-02-29,0.031948,0.031948,-0.006248,0.014734,0.283762,0.106312
