Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,0.021735,0.021735,0.001507,0.026508,0.021932,0.001507,-0.008425
2020-02-07,0.021735,0.021735,0.002712,-0.010603,0.022499,0.002712,-0.030547
2020-02-14,0.021735,0.021735,0.002549,0.012755,0.022048,0.002549,-0.029083
2020-02-21,0.021735,0.021735,0.004277,-0.009274,0.022857,0.004277,-0.032162
2020-02-28,0.021735,0.021735,0.006726,-0.016220,0.023375,0.006726,0.117698
2020-03-06,0.021735,0.021735,0.024146,0.028445,0.023672,0.024146,0.067534
2020-03-13,0.021735,0.021735,0.013637,0.026323,0.022585,0.013637,0.081775
2020-03-20,0.021735,0.021735,0.024201,0.017601,0.023520,0.024201,0.280048
2020-03-27,0.021735,0.021735,0.026047,0.051103,0.023164,0.026047,0.152172
2020-04-03,0.021735,0.021735,0.029376,0.041685,0.023386,0.029376,0.175737
2020-04-10,0.021735,0.021735,0.028949,0.031824,0.026643,0.028949,0.066504
2020-04-17,0.021735,0.021735,0.020603,0.013942,0.023306,0.020603,0.055155
2020-04-24,0.021735,0.021735,0.019871,0.028022,0.024299,0.019871,0.052400
2020-05-01,0.021735,0.021735,0.014225,0.021692,0.023266,0.014225,0.083278
2020-05-08,0.021735,0.021735,0.011957,0.030281,0.025287,0.011957,0.074950
2020-05-15,0.021735,0.021735,0.012353,0.032832,0.026125,0.012353,0.068039
2020-05-22,0.021735,0.021735,0.010637,0.026275,0.025285,0.010637,0.076817
2020-05-29,0.021735,0.021735,0.011359,0.044087,0.026961,0.011359,0.052883
2020-06-05,0.021735,0.021735,0.031086,0.084743,0.025194,0.031086,0.028464
2020-06-12,0.021735,0.021735,0.030764,0.086991,0.026343,0.030764,0.076159
2020-06-19,0.021735,0.021735,0.031848,0.094878,0.025520,0.031848,0.051981
2020-06-26,0.021735,0.021735,0.030699,0.084260,0.025737,0.030699,0.060708
2020-07-03,0.021735,0.021735,0.036258,0.086257,0.026154,0.036258,0.029273
2020-07-10,0.021735,0.021735,0.030356,0.076032,0.026148,0.030356,0.080239
2020-07-17,0.021735,0.021735,0.032727,0.085779,0.026583,0.032727,0.023224
2020-07-24,0.021735,0.021735,0.031539,0.081949,0.025234,0.031539,0.029959
2020-07-31,0.021735,0.021735,0.019331,0.077360,0.025788,0.019331,-0.032842
2020-08-07,0.021735,0.021735,0.015900,0.076315,0.025110,0.015900,0.037093
2020-08-14,0.021735,0.021735,0.018064,0.064233,0.025778,0.018064,0.053987
2020-08-21,0.021735,0.021735,0.016351,0.069938,0.025682,0.016351,0.022586
2020-08-28,0.021735,0.021735,0.015930,0.069938,0.025248,0.015930,0.017363
