Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,-0.003805,0.048181,0.050976,0.053745,0.024604,0.024604,0.395570
2020-02-29,-0.003805,0.037099,0.037533,0.026661,0.025244,0.025244,0.102540
2020-03-31,-0.003805,0.042396,0.006010,0.046259,0.026959,0.026959,-0.441083
2020-04-30,-0.003805,0.004251,0.029176,0.084887,0.034793,0.034793,-0.134415
2020-05-31,-0.003805,-0.043127,0.040215,0.007438,0.022607,0.022607,-0.201220
2020-06-30,-0.003805,-0.072363,0.027264,0.020679,0.020365,0.020365,-0.218503
2020-07-31,-0.003805,-0.070544,0.025300,0.010351,0.016466,0.016466,-0.169816
2020-08-31,-0.003805,-0.101236,0.035080,0.009453,0.014874,0.014874,-0.159343
2020-09-30,-0.003805,-0.122631,0.027556,0.048254,0.017382,0.017382,-0.596166
2020-10-31,-0.003805,-0.116535,0.007255,0.024043,0.012710,0.012710,-0.759188
2020-11-30,-0.003805,-0.122953,0.019061,0.036833,0.017286,0.017286,-0.355063
2020-12-31,-0.003805,-0.120332,0.007787,0.034037,0.009898,0.009898,-0.272412
2021-01-31,-0.003805,-0.142515,-0.014613,0.024878,0.004416,0.004416,-0.597089
2021-02-28,-0.003805,-0.174875,-0.006006,0.065960,0.000603,0.000603,-0.363146
2021-03-31,-0.003805,-0.168581,-0.056543,0.036702,-0.007377,-0.007377,-0.438765
2021-04-30,-0.003805,-0.172322,-0.016389,-0.129840,-0.012937,-0.012937,-0.501624
2021-05-31,-0.003805,-0.038671,-0.027758,-0.042709,0.004811,0.004811,-0.661107
2021-06-30,-0.003805,-0.102361,0.054613,-0.102872,0.001685,0.001685,-0.356167
2021-07-31,-0.003805,-0.073701,0.044562,-0.064506,0.010135,0.010135,-0.645162
2021-08-31,-0.003805,0.011272,0.068528,-0.077919,0.018045,0.018045,-0.804486
2021-09-30,-0.003805,-0.017241,0.065148,-0.077185,0.018649,0.018649,-0.479461
2021-10-31,-0.003805,0.029257,0.126709,-0.036502,0.024662,0.024662,-0.629963
2021-11-30,-0.003805,0.111490,0.115301,-0.035318,0.021648,0.021648,-0.657533
2021-12-31,-0.003805,0.122803,0.132674,0.001219,0.023307,0.023307,-0.664042
2022-01-31,-0.003805,0.088785,0.138927,-0.063664,0.025467,0.025467,-0.390390
2022-02-28,-0.003805,0.053971,0.145585,-0.016855,0.018713,0.018713,-0.242581
2022-03-31,-0.003805,0.133375,0.140036,-0.099514,0.016248,0.016248,-0.170321
2022-04-30,-0.003805,0.132190,0.144414,-0.019993,0.019231,0.019231,-0.140531
2022-05-31,-0.003805,0.173767,0.150254,-0.015858,0.024703,0.024703,0.065934
2022-06-30,-0.003805,0.244280,0.155889,-0.006071,0.030764,0.030764,-0.129896
2022-07-31,-0.003805,0.204137,0.123270,-0.012688,0.022712,0.022712,-0.131688
2022-08-31,-0.003805,0.169907,0.143505,-0.003402,0.024582,0.024582,-0.064906
2022-09-30,-0.003805,0.219474,0.144962,-0.032095,0.024757,0.024757,-0.221684
2022-10-31,-0.003805,0.158861,0.136631,-0.052740,0.014814,0.014814,-0.028508
2022-11-30,-0.003805,0.122526,0.134752,-0.110928,0.011976,0.011976,-0.002686
2022-12-31,-0.003805,0.161217,0.118847,-0.109642,0.015930,0.015930,0.026968
2023-01-31,-0.003805,0.163656,0.106052,-0.089203,0.015239,0.015239,0.108660
2023-02-28,-0.003805,0.066797,0.095891,-0.069201,0.002800,0.002800,0.090737
2023-03-31,-0.003805,0.019578,0.029302,-0.077975,0.006156,0.006156,-0.019059
2023-04-30,-0.003805,0.016062,-0.008380,-0.080296,0.004792,0.004792,-0.068075
2023-05-31,-0.003805,-0.022087,0.009499,-0.082688,0.008136,0.008136,-0.116021
2023-06-30,-0.003805,-0.020833,-0.019083,-0.113042,0.007399,0.007399,-0.044691
2023-07-31,-0.003805,-0.031043,-0.003683,-0.106517,0.011138,0.011138,0.032266
2023-08-31,-0.003805,-0.047469,-0.036463,-0.071394,0.004468,0.004468,0.138278
2023-09-30,-0.003805,-0.053189,0.044684,-0.063109,0.004475,0.004475,0.210532
2023-10-31,-0.003805,-0.020187,0.034910,-0.028274,0.005010,0.005010,0.122273
2023-11-30,-0.003805,-0.011446,0.055012,-0.033289,0.008009,0.008009,-0.027947
2023-12-31,-0.003805,0.011528,0.010435,-0.060278,0.005610,0.005610,-0.030848
2024-01-31,-0.003805,-0.000211,0.017373,-0.107758,0.011485,0.011485,-0.022713
2024-02-29,-0.003805,0.032211,0.026623,-0.064214,0.019977,0.019977,-0.046744
2024-03-31,-0.003805,0.032372,0.041013,-0.077561,0.017903,0.017903,-0.018062
2024-04-30,-0.003805,0.044166,0.037276,-0.086806,0.016083,0.016083,0.128079
2024-05-31,-0.003805,0.018236,0.033756,-0.053967,0.008237,0.008237,0.034389
2024-06-30,-0.003805,-0.016897,0.017834,-0.001269,0.010976,0.010976,-0.020601
2024-07-31,-0.003805,-0.022139,0.024716,0.005457,0.011029,0.011029,-0.079980
2024-08-31,-0.003805,0.004832,0.023125,-0.077780,0.011560,0.011560,-0.133805
2024-09-30,-0.003805,-0.014387,0.053196,-0.033210,0.012166,0.012166,-0.131664
2024-10-31,-0.003805,-0.025257,0.013583,-0.019957,0.015068,0.015068,-0.028194
2024-11-30,-0.003805,-0.050559,-0.019454,-0.033238,0.010988,0.010988,0.110251
2024-12-31,-0.003805,-0.011743,0.058617,0.029703,0.012697,0.012697,0.066274
2025-01-31,-0.003805,0.022736,0.053178,-0.025268,0.014429,0.014429,-0.131790
2025-02-28,-0.003805,0.041873,0.099342,-0.119833,0.012792,0.012792,-0.175469
2025-03-31,-0.003805,0.030299,0.106433,-0.020197,0.015668,0.015668,-0.331150
2025-04-30,-0.003805,0.054196,0.039270,-0.021657,0.018528,0.018528,-0.471734
2025-05-31,-0.003805,0.070555,0.083948,0.006105,0.021723,0.021723,-0.278191
2025-06-30,-0.003805,0.033646,0.062672,-0.052029,0.015075,0.015075,-0.192107
2025-07-31,-0.003805,0.012055,0.051194,-0.043940,0.011154,0.011154,
2025-08-31,-0.003805,0.004110,0.016848,0.007326,0.012869,0.012869,
2025-09-30,-0.003805,0.049388,0.101310,-0.046043,0.010384,0.010384,
2025-10-31,-0.003805,0.038038,0.094079,-0.056892,0.008577,0.008577,
2025-11-30,-0.003805,0.027060,0.116615,-0.084772,0.012127,0.012127,
2025-12-31,-0.003805,-0.013761,0.089175,-0.050555,0.011892,0.011892,
2026-01-31,-0.003805,-0.039267,0.011295,-0.056324,0.005225,0.005225,
2026-02-28,-0.003805,-0.065238,-0.018051,0.034082,0.007273,0.007273,
2026-03-31,-0.003805,-0.038387,0.092454,-0.048751,-0.004294,-0.004294,
2026-04-30,-0.003805,-0.043465,0.055204,0.094049,-0.000119,-0.000119,
2026-05-31,-0.003805,0.061372,0.021692,-0.027748,0.002141,0.002141,
2026-06-30,-0.003805,0.064031,0.029136,-0.037484,0.003990,0.003990,
