Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the Terms and Conditions of the Cboe Website.,,,,
Equity P/C Ratios,,,,
Date,Equity Call Volume,Equity Put Volume,Equity Total Volume,Equity P/C Ratio
10/17/2003,1017225,463135,1480360,0.46
10/21/2003,648197,380941,1029138,0.59
10/22/2003,541154,415498,956652,0.77
10/23/2003,493194,354797,847991,0.72
10/24/2003,567785,447421,1015206,0.79
10/27/2003,435215,223098,658313,0.51
10/28/2003,563950,374757,938707,0.66
10/29/2003,693158,364516,1057674,0.53
10/30/2003,627894,439451,1067345,0.7
10/31/2003,491689,504173,995862,1.03
11/3/2003,569931,268312,838243,0.47
11/4/2003,595255,294407,889662,0.49
11/5/2003,551267,301209,852476,0.55
11/6/2003,548140,336513,884653,0.61
11/7/2003,643147,394891,1038038,0.61
11/10/2003,432969,339129,772098,0.78
11/11/2003,447950,326768,774718,0.73
11/12/2003,592174,403860,996034,0.68
11/13/2003,609893,383694,993587,0.63
11/14/2003,662739,361347,1024086,0.55
11/17/2003,658441,427919,1086360,0.65
11/18/2003,568928,355730,924658,0.63
11/19/2003,551508,423986,975494,0.77
11/20/2003,562395,364840,927235,0.65
11/21/2003,693747,461316,1155063,0.66
11/24/2003,630412,320424,950836,0.51
11/25/2003,546189,263896,810085,0.48
11/26/2003,462159,251258,713417,0.54
11/28/2003,218810,121315,340125,0.55
12/1/2003,597095,324169,921264,0.54
12/2/2003,601278,314983,916261,0.52
12/3/2003,608963,453120,1062083,0.74
12/4/2003,584895,330837,915732,0.57
12/5/2003,494881,335345,830226,0.68
12/9/2003,611586,340208,951794,0.56
12/8/2003,458933,325923,784856,0.71
12/10/2003,625605,430133,1055738,0.69
12/11/2003,589907,297193,887100,0.5
12/12/2003,511771,257406,769177,0.5
12/15/2003,607936,328286,936222,0.54
12/16/2003,634957,315241,950198,0.5
12/17/2003,604679,294453,899132,0.49
12/18/2003,665543,341417,1006960,0.51
12/19/2003,791236,481898,1273134,0.61
12/22/2003,553240,337362,890602,0.61
12/23/2003,489783,282026,771809,0.58
12/24/2003,249030,123777,372807,0.5
12/26/2003,225065,84573,309638,0.38
12/29/2003,565058,213912,778970,0.38
12/30/2003,557304,204816,762120,0.37
12/31/2003,541039,511781,1052820,0.95
1/2/2004,545682,288114,833796,0.53
1/5/2004,869787,458669,1328456,0.53
1/6/2004,872664,347760,1220424,0.4
1/7/2004,802874,408677,1211551,0.51
1/8/2004,970355,500507,1470862,0.52
1/9/2004,942691,420871,1363562,0.45
1/12/2004,744167,457457,1201624,0.61
1/13/2004,883197,423555,1306752,0.48
1/14/2004,843879,442894,1286773,0.52
1/15/2004,1148119,525641,1673760,0.46
1/16/2004,1532818,537984,2070802,0.35
1/20/2004,994208,513167,1507375,0.52
1/21/2004,882847,415059,1297906,0.47
1/22/2004,783191,581852,1365043,0.74
1/23/2004,764989,456491,1221480,0.6
1/26/2004,628069,296878,924947,0.47
1/27/2004,653867,421537,1075404,0.64
1/28/2004,759350,503525,1262875,0.66
1/29/2004,836300,538960,1375260,0.64
1/30/2004,580051,409448,989499,0.71
2/2/2004,655778,401302,1057080,0.61
2/3/2004,655186,379015,1034201,0.58
2/4/2004,705234,448458,1153692,0.64
2/5/2004,654226,434512,1088738,0.66
2/6/2004,779861,360398,1140259,0.46
2/9/2004,587594,348886,936480,0.59
2/10/2004,608761,377773,986534,0.62
2/11/2004,732913,409807,1142720,0.56
2/12/2004,820594,354644,1175238,0.43
2/13/2004,632241,370129,1002370,0.59
2/17/2004,691467,561932,1253399,0.81
2/18/2004,718617,462347,1180964,0.64
2/19/2004,953805,560338,1514143,0.59
2/20/2004,1046201,689385,1735586,0.66
2/23/2004,782625,370123,1152748,0.47
2/24/2004,708377,462156,1170533,0.65
2/25/2004,621845,385431,1007276,0.62
2/26/2004,607116,316163,923279,0.52
2/27/2004,528027,313869,841896,0.59
3/1/2004,360769,199757,560526,0.55
3/2/2004,597318,305438,902756,0.51
3/3/2004,508197,304249,812446,0.6
3/4/2004,547185,326334,873519,0.6
3/5/2004,556020,338207,894227,0.61
3/8/2004,634998,417338,1052336,0.66
3/9/2004,637026,545759,1182785,0.86
3/10/2004,695671,504032,1199703,0.72
3/11/2004,675246,645835,1321081,0.96
3/12/2004,563698,463767,1027465,0.82
3/15/2004,520912,440227,961139,0.85
3/16/2004,543232,504419,1047651,0.93
3/17/2004,721088,482881,1203969,0.67
3/18/2004,607071,393536,1000607,0.65
3/19/2004,677758,599883,1277641,0.89
3/22/2004,659464,489962,1149426,0.74
3/23/2004,641833,366452,1008285,0.57
3/24/2004,543336,395211,938547,0.73
3/25/2004,816089,488795,1304884,0.6
3/26/2004,482828,300893,783721,0.62
3/29/2004,582658,275790,858448,0.47
3/30/2004,581353,267971,849324,0.46
3/31/2004,503749,553298,1057047,1.1
4/1/2004,676577,317796,994373,0.47
4/2/2004,994736,531671,1526407,0.53
4/5/2004,795684,389406,1185090,0.49
4/6/2004,728128,505325,1233453,0.69
4/7/2004,601191,323103,924294,0.54
4/8/2004,576071,338140,914211,0.59
4/12/2004,518155,296210,814365,0.57
4/13/2004,659012,510532,1169544,0.77
4/14/2004,627311,379075,1006386,0.6
4/15/2004,757064,506667,1263731,0.67
4/16/2004,1043624,637847,1681471,0.61
4/19/2004,670596,378865,1049461,0.56
4/20/2004,699494,482043,1181537,0.69
4/21/2004,641861,346031,987892,0.54
4/22/2004,800523,430109,1230632,0.54
4/23/2004,649924,409471,1059395,0.63
4/26/2004,545893,292805,838698,0.54
4/27/2004,772474,441571,1214045,0.57
4/28/2004,702768,453822,1156590,0.65
4/29/2004,664197,513577,1177774,0.77
4/30/2004,681410,649293,1330703,0.95
5/3/2004,503819,320393,824212,0.64
5/4/2004,583332,291348,874680,0.5
5/5/2004,438233,288426,726659,0.66
5/6/2004,398820,385067,783887,0.97
5/7/2004,529005,418012,947017,0.79
5/10/2004,640887,560050,1200937,0.87
5/11/2004,603030,556511,1159541,0.92
5/12/2004,592635,557502,1150137,0.94
5/13/2004,538985,417575,956560,0.77
5/14/2004,398858,326891,725749,0.82
5/17/2004,441661,425646,867307,0.96
5/18/2004,561884,423685,985569,0.75
5/19/2004,721918,405761,1127679,0.56
5/20/2004,432627,440072,872699,1.02
5/21/2004,661326,534158,1195484,0.81
5/24/2004,558321,347209,905530,0.62
5/25/2004,648742,448555,1097297,0.69
5/26/2004,519789,381312,901101,0.73
5/27/2004,512473,320999,833472,0.63
5/28/2004,325223,228402,553625,0.7
6/1/2004,422150,306293,728443,0.73
6/2/2004,462504,296992,759496,0.64
6/3/2004,407717,409788,817505,1.01
6/4/2004,424059,350459,774518,0.83
6/7/2004,522695,327387,850082,0.63
6/8/2004,457046,300707,757753,0.66
6/9/2004,449561,327720,777281,0.73
6/10/2004,364599,367379,731978,1.01
6/14/2004,363741,433002,796743,1.19
6/15/2004,534309,337034,871343,0.63
